BRECKNOCK,,,,,,,,,,,,,,,,,,,,
Grid ref,SO048282,Long,-3.3864096,Lat,51.944125,Elevation,437,ft.,,,,,,,,,,,,
Station no,RR4045,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,5.32,7.14,10.3,9.74,5.43,6.67,1.98,9.35,2.75,2.56,1.1,1.7,4.38,7.06,5.63,5.44,5.47,2.46,,
February,8.38,3.42,6.57,1.38,4.11,2.3,5.38,3.88,2.64,5.65,7.72,5.6,4.92,10.19,7.96,8.09,1.84,1.26,,
March,0.33,3.75,4.62,3.26,2.52,1.99,5.2,2.81,1.32,1.53,2.83,3.66,2.65,1.67,1.74,1.71,5.86,1.87,,
April,0.5,4.76,3.45,2.57,2.8,2.56,3.18,2.93,3.4,2.36,1.95,0.89,5.66,1.2,1.73,4.19,3.13,1.48,,
May,3.03,0.91,1.72,1.72,0.79,2.8,1,3.12,6.21,3.2,2.39,2.3,3.32,2.22,1.9,3.45,5.64,3.2,,
June,0.22,2.28,4.53,2.11,2.24,3.56,2.58,3.83,3.67,7.39,6.46,3.39,3.2,5.14,2.43,2.11,1.49,0.44,,
July,1.73,3.3,6.07,1.92,1.25,4.17,0.89,4.71,3.07,4.83,6.43,1.22,5.69,3.73,2.01,0.37,3.28,1.64,,
August,2.75,4.81,3.69,3.68,4.1,2.98,4.16,5.27,7.29,6.44,0.54,5.16,4.04,1.25,1.8,2.35,1.72,2.55,,
September,2.89,5.25,4.38,2.26,4.68,5.41,6.56,3.77,2.23,4.26,2.39,3.11,2.68,6.04,3.1,5.3,3.72,3.55,,
October,10.2,5.99,6.8,2.75,5.65,6.72,6.82,4.5,7.19,1.64,6.75,3.07,5.47,5.81,1.7,5.48,7.04,2.68,,
November,6.18,1.05,13.06,3.52,2.61,8.44,4.29,8.61,4.15,0.8,5.46,7.07,7.64,5.55,2.47,4.58,4.42,4.55,,
December,2.14,4.05,10.34,1.51,2.32,1.88,10.52,3.75,3.81,3.07,4.85,4.79,4.51,1.88,6.27,2.38,7,4.55,,
Total,43.67,46.71,75.53,36.42,38.5,49.48,52.56,56.53,47.73,43.73,48.87,41.96,54.16,51.74,38.74,45.45,50.61,30.23,,
,,,,,,,,,,,,,,,,,,,,
"NGR is 3 Watton, Brecon where the observer, John Kirk, lived. Altitudes match",,,,,,,,,,,,,,,,,,,,
