WEARHEAD,,,,,,,,,,,,
Grid ref,NY859394,Long,-2.220573,Lat,54.749354,,,,,,,
Station no,RR6330,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,5.11,3.81,8.23,7.19,2.72,6.74,1.98,4.88,4.53,,
February,,2.06,1.23,10.31,5.41,2.93,3.03,4.96,7.20,4.11,,
March,,4.12,2.63,9.83,3.04,4.64,3.77,5.00,6.91,5.40,,
April,,2.72,2.25,2.72,4.86,4.88,1.86,3.09,4.14,3.23,,
May,,1.31,2.84,3.77,4.72,0.66,6.32,6.28,2.73,2.86,,
June,,2.69,0.94,1.56,2.06,1.33,1.36,5.16,1.89,3.18,,
July,,3.12,3.93,3.83,1.77,1.08,2.10,2.69,2.27,4.48,,
August,,2.65,2.91,6.17,4.49,5.35,4.23,3.53,4.37,3.14,,
September,,1.80,1.56,4.46,1.14,4.22,1.23,0.46,4.46,3.07,,
October,,3.55,4.95,13.50,1.68,3.84,8.08,8.86,2.86,6.29,,
November,5.60,7.92,3.02,4.00,4.30,6.83,6.01,3.74,3.46,2.74,,
December,7.57,4.65,7.11,3.51,3.99,1.73,3.82,7.85,2.19,5.18,,
Total,60.16,41.70,37.18,71.89,44.65,40.21,48.55,53.60,47.36,48.21,,
Calc annual,13.17,41.70,37.18,71.89,44.65,40.21,48.55,53.60,47.36,48.21,,
Difference,46.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
