WEARHEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,NY859394,Long,-2.220573,Lat,54.749354,Elevation,1104,ft,,,,,,,,,,,,
Station no,RR6330,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,5.11,3.81,8.23,7.19,2.72,6.74,1.98,4.88,4.53,6.25,3.05,3.7,5.25,4.85,4.87,6.46,5.04,4.16,
February,,2.06,1.23,10.31,5.41,2.93,3.03,4.96,7.2,4.11,9.69,6.81,4.21,4.21,6.92,7.39,6.78,0.78,6.88,
March,,4.12,2.63,9.83,3.04,4.64,3.77,5,6.91,5.4,3.23,4.22,5.61,9.92,4.37,1.79,9.96,2.16,2.15,
April,,2.72,2.25,2.72,4.86,4.88,1.86,3.09,4.14,3.23,4.84,3.22,0.98,5.95,2.83,2.11,3.58,3.02,1.4,
May,,1.31,2.84,3.77,4.72,0.66,6.32,6.28,2.73,2.86,3,1.62,2.48,2.63,2.62,1.66,3.86,3.06,1.77,0.92
June,,2.69,0.94,1.56,2.06,1.33,1.36,5.16,1.89,3.18,1.37,5.07,5.25,2.43,5.03,0.81,2.93,1.49,1.1,-999
July,,3.12,3.93,3.83,1.77,1.08,2.1,2.69,2.27,4.48,4.44,0.58,3.42,1.44,2.05,4.24,3.58,0.91,4.94,-999
August,,2.65,2.91,6.17,4.49,5.35,4.23,3.53,4.37,3.14,6.45,2.04,6.05,2.52,2.14,3.49,2.62,9.21,2.66,3.38
September,,1.8,1.56,4.46,1.14,4.22,1.23,0.46,4.46,3.07,0.29,3.34,3.08,3.72,2.95,1.2,3.11,3.48,9.9,
October,,3.55,4.95,13.5,1.68,3.84,8.08,8.86,2.86,6.29,4.56,5.7,4.72,3.64,1.8,1.09,8.99,7.01,5.35,
November,5.6,7.92,3.02,4,4.3,6.83,6.01,3.74,3.46,2.74,3.98,7.62,4.99,5.36,9.91,3.75,8.19,5.52,3,
December,7.57,,7.11,3.51,3.99,1.73,3.82,7.85,2.19,5.18,5.79,10.01,8.86,4.79,13.49,8.82,4.73,2.63,,
Total,,,37.18,71.89,44.65,40.21,48.55,53.6,47.36,48.21,53.89,53.28,53.35,51.86,58.96,41.22,64.79,44.31,,
,,,,,,,,,,,,,,,,,,,,
1900 total estimated and rubbed out on record,,,,,,,,,,,,,,,,,,,,
1901 Dec and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,
1918 Dec and total estimated hence removed,,,,,,,,,,,,,,,,,,,,
"1919 June/July bracketed - 3.56, both set to -999",,,,,,,,,,,,,,,,,,,,
