"LOUTH - CALCETHORPE, second gauge",,,,,,,,
Grid ref,TF249885,Long,-0.124,Lat,53.379,Elevation,380,ft,,
Station no,RR4175,,,,,,,
,,,,,,,,
,1873,1874,1875,1876,1877,1878,1879,1880
January,,1.55,2.12,1.32,3.67,2.22,1.25,0.20
February,,1.57,1.27,2.72,2.48,1.69,2.95,2.27
March,,1.11,0.66,2.71,2.13,1.33,1.03,2.12
April,,1.35,0.70,3.50,3.03,1.21,2.70,2.36
May,,1.07,1.35,1.10,1.98,3.62,4.54,1.22
June,1.37,1.63,3.10,2.64,1.51,2.49,4.01,4.47
July,2.77,1.29,5.27,1.53,2.87,1.27,3.34,5.85
August,3.48,2.66,3.66,3.15,4.03,6.02,3.26,2.10
September,2.90,2.59,1.89,3.65,4.75,2.06,3.85,5.33
October,2.90,1.72,5.42,1.57,2.02,2.49,1.15,6.21
November,1.42,3.17,5.67,3.91,2.81,6.27,1.86,3.60
December,0.36,2.72,1.19,5.51,2.37,2.01,0.92,2.72
Total,,22.43,32.30,33.31,33.65,32.68,30.86,38.45
,,,,,,,,
TYRain_1870-1879_06_pt3/046,,,,,,,,
TYRain_1880-1889_08_pt1/051,,,,,,,,
,,,,,,,,,,
"# An inspection record in the British Association Report 1875 identifies this as being at Calcethorpe Manor",,,,,,,,,,
