"SUTTON COLDFIELD (FOUR OAKS)",,,,,,,,,,,,
Grid ref,SP122985,Long,-1.821373,Lat,52.584173,,,,,,,
Station no,2487/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.28,3.88,6.02,,
February,,,,,,,,5.46,0.36,2.41,,
March,,,,,,,,1.84,1.73,1.82,,
April,,,,,,,,0.80,3.63,0.84,,
May,,,,,,,1.02,2.36,0.86,1.16,,
June,,,,,,,1.26,4.50,0.74,3.05,,
July,,,,,,,3.01,6.66,2.38,3.51,,
August,,,,,,,5.57,3.89,3.38,4.10,,
September,,,,,,,4.78,3.48,0.14,5.91,,
October,,,,,,,1.50,3.44,2.73,5.49,,
November,,,,,,,2.20,2.29,3.85,3.60,,
December,,,,,,,2.41,4.04,3.97,4.04,,
Total,,,,,,,,41.04,27.65,41.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,21.75,41.04,27.65,41.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
