"EDINBURGH observer ""GW""",,,,,,,,,,
,,,,,,,,,,
Station no,RR2096,,,,,,,,,
,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January,,,,,,,,,1.08,
February,,,,,,,,,1.12,
March,,,,,,,,,4,
April,,,,,,,,,3.09,
May,,,,,,,,,2.06,
June,,,,,,,,,2.04,
July,,,,,,,,,4,
August,,,,,,,,,4.05,
September,,,,,,,,,2,
October,,,,,,,,,2.13,
November,,,,,,,,,1.02,
December,,,,,,,,,1.08,
Total,,,,,,,,,27.67,
,,,,,,,,,,
No indication of location or elevation. Values quite a bit higher than those on TYRain_1677-1886_B_pt2-page-050.csv,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-092.csv,,,,,,,,,,
