EDINBURGH - observer A Buchan,,,,,,,,,,,,,,,,,,,,
Grid ref,NT250743,Long,-3.2018682,Lat,55.956309,Elevation,162,ft,,,,,,,,,,,,
Station no,RR2096,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,3.25,,,,,,,,,,,,,,,1.13,
February,,,,,,,,,,,,,,,,,,,1.76,
March,,,,,,,,,,,,,,,,,,,3.36,
April,,,,,,0.67,,,,,,,,,,,,,1.61,
May,,,,,,0.75,,,,,,,,,,,,,0.77,
June,,,,0.84,,2,,,,,,,,,,,,,3.54,
July,,,,,,,,,,,,,,,,,,,6.45,
August,,,,,,1.13,,,,,,,,,,,,,1.69,
September,,,,3.73,,,,,,,,,,,,,,,0.59,
October,,,3.08,5.63,,2.34,,,,,,,,,,,,,1.2,
November,,,3.06,2.66,,4.92,,,,,,,,,,,,,4.77,
December,,,,,,1.8,,,,,,,,,,,,,1.03,
Total,,,,,,,,,,,,,,,,,,,27.9,
,,,,,,,,,,,,,,,,,,,,
"Very sporadic record for Alexander Buchan, an emminent Scottish meteorologist, botanist and oceanographer; he was resonsible for a huge number of rain records during his life-time.",,,,,,,,,,,,,,,,,,,,
He was elected President of the Botanical Society of Edinburgh in 1870 at which time he and family were living at 72 Northumberland St in Edinburgh.,,,,,,,,,,,,,,,,,,,,
Northumberland St is at the elevation quoted on the record therefore NGR given for his home there.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_11_pt2-page-050.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_14_pt1-page-143.csv,,,,,,,,,,,,,,,,,,,,
