EDINBURGH - Nelson Monment area,,,,,,,,,,,,,,,,,,,,
Grid ref,NT262741,Long,-3.1834794,Lat,55.954234,Elevation,355,ft,,,,,,,,,,,,
Station no,RR2096,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,3.26,1.75,0.71,0.8,3.72,0.65,2.66,,1.67,,,1.61,1.48,0.83,,1.5,,,2.49,3.5
February,0.49,1.44,1.87,1.56,0.57,1.58,1.08,,2.31,,,3.3,3.59,2.25,,1.46,,,0.8,1.79
March,1.34,0.82,0.69,0.74,2.58,,0.48,,0.65,,,1.37,3.1,0.25,,2.23,,,1.26,0.84
April,2.05,0.6,0.73,1.16,2.04,0.64,0.74,,3.04,,,1.72,1.1,2.03,,0.89,,0.24,0.6,3.1
May,2.5,1.99,0.86,1.13,1.58,1.01,2.23,,1.92,,,3.35,2.1,3.21,,3.01,,0.31,1.8,2.32
June,0.53,0.2,2.21,1.35,1.32,1.38,0.2,,2.61,,-999,3.68,2.23,1.44,,2.29,,0.29,2,1.65
July,0.4,5.25,4.19,0.86,1.86,,2.74,,2.45,,-999,2.77,1.34,2.58,,2.18,,1.72,3.4,1.48
August,1.26,0.88,2.13,2,3.91,2.83,2.65,,7.51,,3.14,2.12,3.4,0.86,,1.37,,3.11,0.7,1.93
September,2.53,2.66,2.37,1.82,0.74,,0.98,,2.5,,-999,1.7,1.08,1.23,,1.9,,1.18,1.8,1.43
October,3.33,1.59,2.43,1,2.37,,1.92,,2.01,,-999,3.43,2.82,2.94,,2.84,,1.05,1.1,3.75
November,0.98,1.06,2.09,2.26,1.92,,4.47,,0.74,,4.5,3.9,3.98,1.45,,0.56,,0.3,2.6,2.35
December,2.91,2.17,1.02,1.13,1.96,,1.71,,1.93,,2.83,3.69,0.89,1.07,,1.61,,0.8,2.5,2.93
Total,21.58,20.41,21.3,15.81,24.57,,21.86,,29.34,,,32.64,27.11,20.14,,21.84,,,21.05,27.07
,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1677-1886_B_pt2-page-050.csv: 1805 Feb = 1.58,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1677-1886_B_pt2-page-133.csv,,,,,,,,,,,,,,,,,,,,
"1810 June/July 3.835""",,,,,,,,,,,,,,,,,,,,
"1810 Sept/Oct 2.325""",,,,,,,,,,,,,,,,,,,,
1815 total rounding variation so leave values as transcribed since all are correctly rounded and increase total to 21.84 from 21.830 on record.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Later record notes gauge at Calton Hill then Nelson's Monment; NGR for latter.,,,,,,,,,,,,,,,,,,,,
