PORT WILLIAM BLAIRBUIE,,,,,,,,,,,,
Grid ref,NX358417,Long,-4.552360,Lat,54.743357,,,,,,,
Station no,RR7256,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.90,3.81,1.90,3.54,1.92,,
February,,,,,,2.75,2.35,2.32,2.92,2.64,,
March,,,,,,3.33,2.56,3.53,3.87,4.79,,
April,,,,,,2.98,1.28,3.12,3.12,4.36,,
May,,,,,,1.21,5.54,3.90,2.74,1.67,,
June,,,,,,2.29,1.85,6.04,2.44,4.47,,
July,,,,,,1.73,3.24,2.44,4.89,5.05,,
August,,,,,,5.75,5.03,5.54,3.69,2.80,,
September,,,,,,2.12,0.69,1.47,3.68,2.68,,
October,,,,,,2.88,6.16,8.25,2.62,10.27,,
November,,,,,,4.77,3.44,3.98,2.83,1.38,,
December,,,,,,2.15,6.01,5.12,5.47,5.58,,
Total,,,,,,33.86,41.96,47.61,41.81,47.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,33.86,41.96,47.61,41.81,47.61,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,,
