PORT WILLIAM BLAIRBUIE,,,,,,,,,,,,,,,,,,,,
Grid ref,NX363418,Long,-4.5446571,Lat,54.744418,Elevation,150,ft,,,,,,,,,,,,
Station no,RR7256,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.9,3.81,1.9,3.54,1.92,2.5,,,,,,,,,
February,,,,,,2.75,2.35,2.32,2.92,2.64,4.1,,,,,,,,,
March,,,,,,3.33,2.56,3.53,3.87,4.79,1.98,,,,,,,,,
April,,,,,,2.98,1.28,3.12,3.12,4.36,2.62,,,,,,,,,
May,,,,,,1.21,5.54,3.9,2.74,1.67,2.1,,,,,,,,,
June,,,,,,2.29,1.85,6.04,2.44,4.47,1.93,,,,,,,,,
July,,,,,,1.73,3.24,2.44,4.89,5.05,2.61,,,,,,,,,
August,,,,,,5.75,5.03,5.54,3.69,2.8,7.35,,,,,,,,,
September,,,,,,2.12,0.69,1.47,3.68,2.68,1.65,,,,,,,,,
October,,,,,,2.88,6.16,8.25,2.62,10.27,3.24,,,,,,,,,
November,,,,,,4.77,3.44,3.98,2.83,1.38,5.79,,,,,,,,,
December,,,,,,2.15,6.01,5.12,5.47,5.58,4.88,,,,,,,,,
Total,,,,,,33.86,41.96,47.61,41.81,47.61,40.75,,,,,,,,,
