BROMYARD BUCKENHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO658565,Long,-2.501877,Lat,52.205656,Elevation,410,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,1.29,0.59,0.82,2.75,1.95,1.75,2.03,2.35,4.62,0.45,1.67,0.4,4.44,3.61,1.52,0.94,2.61,2.67,0.94,3.91,1.16,0.61,0.98,2.43,0.64,4.43,3.78,1.02,3.14,0.84,1.03,2.5,3.08,3.45,3.07,3.37,1.23,3.32,2.01,3.55,,,,,
February,,,,,,,,0.45,0.96,1.29,0.54,0.01,1.53,2.45,2.71,0,0.48,2.79,1.68,3.23,4.69,1.09,1.05,1.81,4.41,0.8,2.08,0.92,1.4,0.59,3.96,1.38,1.6,1.27,2.16,4.2,5.18,1.02,1.49,2.95,0.94,0.34,3.3,5.39,0.5,3.61,2.08,,,,,
March,,,,,,,,0.95,2.66,2.36,1.34,1.13,0.69,0.25,1.24,1.3,2.52,4.02,0.58,0.52,1,1.56,1.54,3.8,1.55,3.75,1.23,0.71,2.95,3.2,0.73,1.88,4.45,5.08,2.48,0.52,3.86,2.9,1.48,4.79,3.08,1.42,2.51,1.85,1.53,0.91,0.56,,,,,
April,,,,,,,2.21,0.86,0.93,5.05,1.61,1.75,0.91,0.58,1.39,2.46,0.84,2.2,1.85,2.32,1.53,1.9,2.17,1.75,1.22,2.65,1.08,2.27,3.06,2.04,2.11,1.23,0.09,4.07,1.07,1.02,0.7,1.64,2.66,1.97,4.47,1.55,2.27,2.79,2.9,2.25,2.08,,,,,
May,,,,,,,6.25,1.71,0.57,4.4,1.83,2.9,1.43,2.57,3.31,0.88,0.2,0.6,4.19,1.7,2.05,0.65,2.15,4.82,2.42,0.5,2.34,2.34,1.7,0.87,1.46,2.53,2.82,2.86,1.41,2.79,3.11,3.81,1.82,0.66,2.09,1.3,1.32,1.19,5.84,3.02,3.34,,,,,
June,,,,,,,1.04,1.38,3.27,0.64,1.68,2.56,2.09,1.24,2.37,1.1,1.99,2.9,1.33,2.33,1.72,2.57,3.4,3.08,0.73,3.21,3.02,2.54,2.03,3.52,3.11,3.16,4.7,1.13,2.91,0.92,1.7,1.92,0.8,0.73,2.38,0.52,0.9,0.34,1.82,0,1.17,,,,,
July,,,,,,,2.57,1.33,5.94,2.53,2.68,1.5,2.76,2.77,3.79,1.7,1.03,1.34,1.22,1.53,1.75,1.87,1.39,3.27,3.63,1.2,0.63,3.03,2.13,2.69,1.92,0.71,4.98,0.87,3.51,6.31,1.49,2.38,2.28,2.35,5.19,0.53,4.22,3.02,3.51,2.59,2.5,,,,,
August,,,,,,,1.3,,2.67,2.42,3.63,4.87,3.35,1.2,2.62,1.85,1.5,3.01,1.86,1.49,2.64,1.32,3.57,3.99,1.47,5.71,1.28,2.19,3.33,1.91,5.11,2.92,8.41,1.93,1.37,2.88,1.83,5.7,1.57,2.79,0.94,3.2,3.47,1.63,2.62,1.78,2.02,,,,,
September,,,,,,,2.5,1.41,0.74,1.53,0.92,1.16,2.07,1.41,2.95,0.62,4.14,2.8,0.39,3.47,0.79,1.8,1.63,3.26,2.03,1.18,1.07,0.5,2.15,3.08,0.73,1.77,1.16,2.62,1.11,1.12,0.94,1.79,7.29,1.81,2.08,1.19,2.22,1.61,4.72,3.86,0.63,,,,,
October,,,,,,,3.81,2.12,0.45,2.96,1.24,6.29,1.69,2.07,3.72,2,2.59,1.65,3.95,3.23,3.24,1.4,2.86,5.74,1.01,1.53,5.39,8.11,1.81,3.76,3.41,1.81,2.96,4.79,1.75,4.49,3.41,2.66,1.48,1.92,3.09,1.63,0.18,4.7,3.98,3.01,2.58,,,,,
November,,,,,,,2.15,2.43,7.17,0.82,2.11,2.33,2.32,1.24,3.47,5.13,1.09,1.76,1.86,1.73,2.17,0.78,2.74,1.62,1.55,2.68,3,2.6,1.47,1.27,4.7,2.41,1.58,2.88,3.25,2.57,2.58,0.88,2.05,1.48,0.84,2.29,1.27,1.67,2.13,1.3,6.02,,,,,
December,,,,,,,4.11,2.24,1.31,1.51,1.29,3.28,1.47,3.92,1.94,2.57,4.71,2.48,3,2.02,4.89,3.65,1.79,2.29,2.09,0.78,1.84,3.49,2.46,4.22,5.89,6.18,3.46,0.91,6.4,5.21,2.48,0.91,2.52,3.14,2.97,1.88,4.04,2.39,3.34,2.77,0.51,,,,,
Total,,,,,,,,,27.26,26.33,21.62,29.73,22.06,21.73,31.86,24.23,21.54,27.22,22.31,28.01,30.08,20.11,25.23,38.04,24.78,24.93,26.87,29.86,25.1,28.13,35.56,26.62,40.64,32.19,28.44,35.17,28.12,26.64,27.94,27.67,31.52,18.92,29.07,27.81,36.21,27.11,27.04,,,,,
