BROUGHTON-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP4198238385,Long,-1.3893185,Lat,52.04228,Elevation,370,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,3.49,0.96,2.72,1.44,1.91,2.75,3.79,2.79,2.35,3.4,1.63,3.18,1.21,3.75,2.79,3.35,1.73,3.71,1.54,2.11,2.3,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.16,2.41,3.5,4.34,1.4,1.26,2.34,0.84,0.29,2.6,4.91,0.39,3.78,2.23,2.95,1.95,0.78,0.6,2.58,0.18,3.65,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,3.34,3.12,1.39,4.84,2.14,1.05,4.08,2.89,1.08,2.16,1.69,2.08,0.56,0.49,2.79,2.13,0.02,1.51,0.08,1.89,2.47,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,4.51,0.94,0.92,1.34,1.62,3.49,2.03,5.52,1.15,2.92,2.38,2.35,2,2.98,1.54,1.06,1.09,1.89,4.15,2.37,1.41,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.02,1.03,2.42,2.31,2.43,1.8,1.13,1.72,2.14,0.68,1.62,6.81,2.73,3.24,1.02,0.88,2.02,2.79,3.27,5.54,1.59,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.69,2.51,1.41,2.37,1.9,0.84,0.84,3.34,0.62,0.81,0.43,1.91,0.06,3.48,3.9,2.26,1.33,1.79,2.35,1.09,1.91,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,0.93,2.55,2.85,2.32,2.51,2.73,2.79,3.35,0.48,4.67,2.18,3.55,3.96,2.21,2.88,2.38,1.66,3.68,4.83,1.37,1.27,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,0.41,1.55,1.83,3.51,5.14,2.01,2.58,0.87,2.3,4.53,1.99,2.61,2.36,0.98,3.41,1.97,1.3,2.45,3.48,3.46,0.7,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,2.67,1.37,1.91,1.03,2.1,4.88,2.07,1.99,1.21,3.1,3.18,3.46,3.71,1.14,5.52,0.78,0.49,3.28,2.66,3.25,1.65,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,4.32,1.83,2.5,3.34,2.94,1.43,2.13,2.12,1.14,0.79,4.48,4.15,3.09,2.18,1.78,4.36,3.94,1.58,0.68,3.7,1.97,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,3.04,3.18,2.5,3.43,1.05,2.2,1.33,0.94,1.99,1.41,1.75,2.66,1.95,5.24,2.74,3.62,6.81,3.42,3.5,1.81,0.88,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,1,6.21,4.54,3.1,1.2,2.41,4.07,2.34,1.63,4.13,2.89,3.81,2.16,0.57,3,2.53,5.86,3.39,0.92,0.5,0.32,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,27.58,27.66,28.49,33.37,26.34,26.85,29.18,28.71,16.38,31.2,29.13,36.96,27.57,28.49,34.32,27.27,27.03,30.09,30.04,27.27,20.12,21.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
