SALCOMBE-SHADYCOMBE,,,,,,,,,,,,,,,,,,
Grid ref,SX738392,Long,-3.7701,Lat,50.2398,Elevation,20,ft,,,,,,,,,,
Station no,RR2759,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,2.91,4.63,4.4,1.51,3.23,1.43,6.18,6.9,3,1.91,,,,,,,
February,,5.21,2.43,0.01,0.4,5.6,1.69,5.3,7.66,1.36,2.03,,,,,,,
March,,0.28,1.92,3.14,3.8,5.91,1.65,0.67,1.8,4.98,3.11,,,,,,,
April,,0.81,2.14,2.1,0.28,5.55,1.86,3.83,1.97,5.57,2.08,,,,,,,
May,,1.22,2,0.52,0.03,1.94,3.75,3.92,2.45,1.1,2.56,,,,,,,
June,,0.95,1.94,1.64,1.58,2.48,2.13,1.84,4.09,1.47,2.77,,,,,,,
July,,4.5,4.19,2.56,0.91,0.72,0.38,0.74,0.57,2.01,1.9,,,,,,,
August,,1.77,3.41,3.16,1.29,4.67,2.26,2,2.39,1.61,2.73,,,,,,,
September,,2.16,2.76,0.71,4.45,2.54,1.07,1.74,1.92,4.5,2.31,,,,,,,
October,4.17,3.67,5,4.47,3.68,1.1,6.09,2.96,2.88,2.79,3.71,,,,,,,
November,3.2,1.46,8.3,7,1.43,1.56,5.24,4.41,4.01,0.42,3.94,,,,,,,
December,2.63,4.14,2.15,7.67,8.26,7.98,5.48,6.26,8.11,8.33,3.04,,,,,,,
Total,,29.08,40.87,37.38,27.62,43.28,33.03,39.85,44.75,37.14,32.09,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1892 Sept 24 Gauge moved 1 0.25 miles N from The Molt so month incomplete,,,,,,,,,,,,,,,,,,
