HEATH NR WAKEFIELD - observer Smithson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE351201,Long,-1.4688,Lat,53.6763,Elevation,130,Ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,
January,,,,,,4.91,4.72,0.85,1.14,3.98,0.88,1.44,1.2,0.75,1.38,0.57,2.3,1.3,3.78,3.52,0.79,1.49,0.82,2.09,,0.91,,,,,
February,,,,,,1.33,1.83,1.7,1.25,2.51,1.95,3.95,3.2,3.6,0.67,1.25,0.51,2.24,1.15,2.48,1.99,0.18,2.49,3.66,,0.61,,,,,
March,,,,,,1.35,2.05,3.05,0.96,0.42,3.45,1.48,4.77,1.03,1.99,2.94,1.06,1.9,4.09,1.11,0.8,3.32,3.31,0.96,,1.6,,,,,
April,,,,,,2.3,0.97,1.17,3.48,2.11,1.91,2.1,1.96,1.98,2.99,1.43,2.86,0.08,4.59,1.36,1.46,2.43,1.81,1.38,,3.36,,,,,
May,,,,,,2.13,2.52,4.7,3.9,2.97,3.12,4.62,1.64,3.75,1.27,1.62,1.54,1.53,2.03,1.52,3.84,2.41,2.07,1.98,,3.3,,,,,
June,,,,,,1.35,2.18,2.65,,2.01,1.78,2.78,5.77,2.55,2.12,2.57,1.99,2.29,0.71,1.85,1.71,,0.45,1,,1.53,,,,,
July,,,,,,3.2,2.98,2.44,1.52,2.27,4.4,5.24,3.12,2.32,2.57,2.05,4.82,4.36,0.64,1.2,1.8,,5.61,4.03,,0.39,,,,,
August,,,,,,2.43,2.8,2.18,3.41,4.61,3.17,2.2,2.06,0.36,2.97,2.64,1.55,5.35,1.24,1.42,1.21,,1.99,3.91,,3.08,,,,,
September,,,,,,1.9,1.99,3.35,5.68,4.28,2.1,2.55,1.36,1.62,0.98,2.23,1.78,1.15,2.73,,0.47,,-999,1.05,,1.07,,,,,
October,,,,,,1.7,1.06,1.6,2.48,2.1,2.23,2.23,5.14,3.16,3.65,3.67,4.61,0.98,1.71,,2.06,,-999,2.35,,2.12,,,,,
November,,,,,,0.6,3.86,5.57,3.15,2.54,5.12,1.95,2.35,3.8,0.93,1.59,2.12,2.03,3.91,,1.43,,2.43,1.95,,3.23,,,,,
December,,,,,,2.5,3.54,0.87,2.87,2.75,4.29,2.42,1.61,0.74,3.39,3.71,3.28,3.72,0.79,,2.25,,0,4.46,,3.08,,,,,
Total,,,,,,25.7,30.5,30.13,29.84,32.55,34.4,32.96,34.18,25.66,24.91,26.27,28.42,26.93,27.37,,19.81,29.78,25.41,28.82,30.15,24.28,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt2-page-036.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1677-1886_B_pt2-page-075.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"totals 1813,  1817, 1818 two alternatives on the record - have used the mathematically correct one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1820-1829_C_pt1-page-065.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822 Dec zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821 has a total although incomplete year. Total in-line with other totals so maybe from another source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
