"HEATH, NR WAKEFIELD",,,,,,,,,,,,,,,,,,,,
Grid ref,SE351201,Long,-1.4688,Lat,53.6763,Elevation,130,Ft,,,,,,,,,,,,
Station no,RR422,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,,,,,,,,,1.14,3.98,0.89,1.44,1.2,0.75,,,,,,
February,,,,,,,,,1.26,2.58,1.95,3.96,3.2,3.61,,,,,,
March,,,,,,,,,0.99,0.43,3.45,1.49,4.77,1.03,,,,,,
April,,,,,,,,,3.49,2.11,1.91,2.1,1.96,1.98,,,,,,
May,,,,,,,,,3.08,2.96,3.13,4.63,1.64,3.73,,,,,,
June,,,,,,,,,2.34,2.01,1.9,2.78,5.77,2.54,,,,,,
July,,,,,,,,,3.44,2.28,4.41,5.27,3.12,2.33,,,,,,
August,,,,,,,,,2.66,4.61,3.18,2.2,2.06,0.36,,,,,,
September,,,,,,,,,3.03,4.29,2.1,2.55,1.36,1.62,,,,,,
October,,,,,,,,,2.49,1.41,1.88,2.23,5.14,3.16,,,,,,
November,,,,,,,,,3.16,2.25,5.12,1.95,2.35,3.8,,,,,,
December,,,,,,,,,2.91,2.74,4.3,1.42,1.61,0.74,,,,,,
Total,,,,,,,,,29.99,31.65,34.22,32.02,34.18,25.65,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt2-page-037.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt2-page-076.csv,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Data are only sublty different from those in WAKEFIELD-HEATH, which is also a longer record, and these can probably be considered duplication",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
