LOCH MORLICH (FORESTERS COTTAGE),,,,,,,,,,
Grid ref,NH978097,Long,-3.691615,Lat,57.166726,Elevation,1072,ft,,
Station no,5693/3/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2,3.17,3.88,3.34,3.75,3.94
February,,,,,4.68,3.86,3.35,3.82,0.7,3.24
March,,,,,2.14,1.57,3.71,2.64,1.75,0.75
April,,,,,0.43,2.6,1.49,1.74,2.68,3.07
May,,,,,4.85,1.5,1.83,2.49,1.43,0.66
June,,,,,0.48,5.68,2.91,2.22,2.55,3.54
July,,,,,0.93,5.44,5.92,5.83,2.66,2.66
August,,,,,1.49,6.95,6.46,3.98,1.56,9.4
September,,,,,2.31,4.4,2.43,1.75,0.58,2.85
October,,,,5.77,4.16,3.65,2.08,1.82,5.42,5.73
November,,,,5.07,1.89,2.1,4.8,1.16,6.03,2.88
December,,,,5.93,5.62,5.04,3.47,3.99,4.67,2.72
Total,,,,,30.98,45.96,42.33,34.78,33.78,41.44
,,,,,,,,,,
Station no,5693/3/4,,,,,,,,,
Midas,14787,,,,,,,,,
Hyd Stn,817538,,,,,,,,,
