"CHELTENHAM SOUTHAM VILLA",,,,,,,,,,,,
Grid ref,SO958231,Long,-2.062457,Lat,51.906421,,,,,,,
Station no,RR1333,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.48,1.11,,,,,,,,,,
February,5.43,1.10,,,,,,,,,,
March,1.11,1.86,,,,,,,,,,
April,0.68,2.85,,,,,,,,,,
May,2.00,1.17,,,,,,,,,,
June,1.55,2.15,,,,,,,,,,
July,1.67,2.30,,,,,,,,,,
August,2.82,1.44,,,,,,,,,,
September,0.45,1.20,,,,,,,,,,
October,2.42,1.00,,,,,,,,,,
November,1.24,1.39,,,,,,,,,,
December,4.78,4.08,,,,,,,,,,
Total,26.63,21.65,,,,,,,,,,
Calc annual,26.63,21.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
