LETCHWORTH-FIRE-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL218325,Long,-0.22804,Lat,51.97839,Elevation,281,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.37,2.57,1.38,2.23,1.1,1.36,1.23,1.72,1.49,3.14,3.64,2.08,4.61,2.27,1.9,,,,,,,,,
February,,,,,,,,3.65,1.19,0.63,0.44,0.84,0.24,2.09,0.85,2.4,2.18,3.14,0.5,0.55,1.19,2.04,,,,,,,,,
March,,,,,,,,1.97,1.25,0.08,1.5,0.21,1.68,2.04,1.43,0.48,0.87,3.79,0.2,1.21,2.51,2.17,,,,,,,,,
April,,,,,,,,1.73,1.9,1.47,2.03,2.77,1.97,1.31,1.4,2.65,1.29,2.7,0.18,1.67,1.24,1.16,,,,,,,,,
May,,,,,,,,0.87,1.43,1.25,3.02,2.27,5.62,2.28,0.6,1.41,0.54,3.48,2.34,2.04,1.24,2.04,,,,,,,,,
June,,,,,,,,2.8,1.67,0.82,0.38,1.92,0.76,1.73,0.89,2.02,4.52,2.45,0.5,1.92,1.46,0.99,,,,,,,,,
July,,,,,,,,2.52,2.57,1.07,2.42,4.2,1.84,1.22,1.67,0.33,4.89,3.07,1.98,2.03,3.08,3.93,,,,,,,,,
August,,,,,,,,2.83,2.16,0.34,3.24,2.34,2.65,0.84,1.85,1.25,0.6,1.37,1.61,3.93,0.08,,,,,,,,,,
September,,,,,,,,4.65,0.71,0.06,3.21,2.18,1.41,2.39,0.93,2.77,2.1,2.33,1.68,0.8,0.94,,,,,,,,,,
October,,,,,,,,1.55,3.41,3.2,0.88,0.48,3.66,1.49,1.07,1.72,1.46,2.37,2.12,3.84,2.54,,,,,,,,,,
November,,,,,,,,2.49,1.81,4.95,3.78,2.47,1.2,1.75,2.04,4.1,2.66,1.63,2.61,2.75,5.81,,,,,,,,,,
December,,,,,,,,2.62,2.36,4.33,2.28,0.54,0.61,0.29,2.58,2.34,1.59,1.63,3.01,0.87,1.12,,,,,,,,,,
Total,,,,,,,,30.05,23.03,19.58,25.41,21.32,23,18.66,17.03,22.96,25.84,31.6,18.81,26.22,23.48,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 1941 Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
