YARMOUTH-HALVERGATE-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG420065,Long,1.5723242,Lat,52.602346,Elevation,48,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.72,2.65,1.91,0.83,1.61,1.81,2.44,1.86,1.11,0.33,1.15,1.56,1.93,1.22,1.72,2.47,1.21,1.13,0.75,2.26,1.86,0.92,1.92,1.38,2.49,0.91,1.76,0.8,1.71
February,,1.62,1.11,1.84,1.05,1.15,2.46,2.2,0.92,2.54,1.76,2.75,1.58,1.93,0.84,1.95,0.36,0.64,1.68,1.3,0.56,0,1.58,1.86,1.03,0.73,0.36,1.8,0.64,1.04
March,,1.1,2.93,1.53,1.12,0.55,2.64,2.3,1.8,1.04,0.8,1.54,1.27,1.46,1.16,0.97,1.37,1.59,2.76,1.01,2.12,1.12,1.43,0.43,0.66,1.66,2.42,2.1,0.99,1.13
April,,3.39,2.7,0.92,1.05,0.58,2.07,1.97,1.18,2.08,1.8,1.43,2.91,2,0.89,1.7,1.49,0.98,1.17,1.87,0.94,0.9,2.02,0.13,2.4,0.83,1.1,1.44,0.84,2.24
May,,1.1,1.82,2.06,1.37,1.69,0.79,1.77,4.84,2.47,0.77,0.52,1.31,1.48,0.92,2.95,2.15,2.11,0.94,3.5,1.32,3.02,1.16,0.97,2.84,0.62,0.56,0.77,1.61,1.7
June,,2.92,2.94,1.35,2.52,2.51,1.65,2.16,1.27,2.92,2.7,1.97,2.72,1.94,0.77,0.88,0.59,0.4,0.79,2.12,2.74,1.06,3.18,1.75,2.56,0.63,1.92,2.29,1.71,0.46
July,,2.09,2.43,2.06,1.47,4.79,1.17,2.45,1.15,5.87,4.41,1.14,3.05,3.62,2.25,0.74,3.7,1.4,4.85,3.12,4.72,5.09,2.05,2.05,3.52,3.57,0.86,0.58,1.18,1.2
August,,1.17,3.24,1.82,1.21,0.74,2.31,3.06,4.28,4.7,1.56,3.04,1.65,0.78,1.37,0.72,1.82,2.09,1.76,2.79,1.87,3.87,3.36,1.84,2.09,3.03,2.14,1.58,1.09,0.39
September,,4.56,2.16,2.38,3.9,2.4,5.29,2.71,3.22,3.56,2.3,2.6,1.97,2.15,4.02,4.47,1.26,2.19,1.75,4.17,1.11,0.92,2.16,0.94,1.9,0.59,3.22,3.18,0.14,2.62
October,,1.78,2.49,2.41,1.2,3.72,1.22,1.54,1.83,1.54,4.02,3.06,4.38,2.71,3.48,6.46,3.22,2.62,1.69,3.68,1.98,2.99,7.73,1.39,2.35,3.38,2.68,0.64,1.67,1.59
November,,2.67,5.27,1.22,2.79,6.01,2.44,2.69,8.09,2.4,1.89,1.45,3.38,3.65,1.61,2.87,2.81,2.08,2.57,1.26,3.44,1.66,1.25,2.82,2.02,2.46,1.13,1.19,2.27,1.82
December,,1.21,3.64,0.67,2.55,1.64,3.09,2.66,2.18,0.68,1.97,2.89,3.39,2.4,2.07,1.49,2.41,1.29,1.06,1.2,0.5,2.77,1.1,1.98,2.65,1.54,3.08,1.07,1.87,1.41
Total,19.5,24.33,33.38,20.17,21.06,27.39,26.94,27.95,32.62,30.91,24.31,23.54,29.17,26.05,20.6,26.92,23.65,18.6,22.15,26.77,23.56,25.26,27.94,18.08,25.4,21.53,20.38,18.4,14.81,17.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1870 total estimated from Somerleyton Rectory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
