"SALTRAM GARDENS, PLYMOUTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX520555,Long,-4.0818127,Lat,50.381496,Elevation,96,ft,,,,,,,,,,,,,,,,,,,,
Station no,RR1180,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877
January,,,,,,,4.7,4,2.13,4.06,7.13,2.75,5.21,4.44,3.31,7.14,8.07,6.4,5.18,5.97,3.9,4.1,8.71,7.9,7.89,10.37,2.06,9.3
February,,,,,,,2.76,1.88,2.76,3.19,2.11,4.05,3.3,1.63,2.9,3.2,5.09,2.75,2.5,3.21,3.9,2.78,6.03,3.75,3.98,1.5,4.75,2.97
March,,,,,,,2.1,3.66,1.58,3.26,4.75,3.9,5.53,2.95,2.43,2.45,3.6,6.49,2.34,2.29,3,2.2,5.37,4.85,1.36,1.43,10.15,4.13
April,,,,,,,3.07,4.69,3.45,3.75,2.95,0.8,3.41,2.22,1.29,0.89,2.41,3.6,4.24,1.45,0.5,6.35,0.65,0.54,2.56,3.8,1.75,5.42
May,,,,,,,2.87,1.36,3.32,1.37,5.61,1.01,2.25,2.25,1.02,2.98,3.35,4.25,2.15,7.2,1.84,0.18,1.19,2.04,0.89,0.9,0.19,3.69
June,,,,,,,3,1.88,1.7,0.96,9.28,3.8,3.05,4.5,2.36,0.37,2.14,1.91,0.76,0.4,0.25,2.11,1.7,2.05,2.35,3.65,2.06,1.22
July,,,,,,,1.6,2.24,4.06,1.12,2.7,6.84,3.64,1.48,1.29,3.28,1.5,5.49,0.72,1.13,1.35,6.86,3.71,3.34,1.75,5.39,1.5,2.14
August,,,,,,,3.76,0.53,0.88,3.8,7.37,1.74,2.33,4.17,0.89,5.47,5.25,1.3,5,0.51,3.05,2.5,1.28,5.2,2.25,3.44,5.65,6.19
September,,,,,,1.04,3.12,2.63,3.23,7.76,3,3.81,5.08,4.91,3.09,0,10.87,3.8,5.63,3.23,2,4.44,2.27,3.47,9.15,6.79,5.9,3.12
October,,,,,,5.09,3.22,4.64,2.56,6.23,2.93,2.34,7.65,7.95,2.3,8.81,2.55,5.4,5.38,2.99,4.15,9.11,5.95,2.27,7.36,8.35,5.42,1.58
November,,,,,,0.8,0.65,1.8,3.08,2.7,4,7.5,1.67,3.23,4.05,6.05,3.03,2.86,4.7,3.21,4.2,1.55,7.04,4.6,4.7,6.02,6,2.3
December,,,,,,2.48,4.01,1.81,5.6,4.4,5.75,3.15,3.8,3.95,3.29,4.85,5.09,2.55,9.9,4.71,3.17,4.7,8.6,2,5.54,2.1,11.58,3.35
Total,,,,,,,34.86,31.12,34.35,42.6,57.58,41.69,46.92,43.68,28.22,45.49,52.95,46.8,48.5,36.3,31.31,46.88,52.5,42.01,49.78,53.74,57.01,45.41
