HINGHAM (SOUTHBURGH),,,,,,,,,,,,
Grid ref,TG003054,Long,0.956835,Lat,52.609432,,,,,,,
Station no,1411/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.36,2.77,1.32,2.01,2.02,2.98,,,,,,
February,3.09,1.16,1.51,2.67,2.50,1.61,,,,,,
March,3.63,2.98,0.67,2.31,1.98,0.93,,,,,,
April,3.42,1.75,2.31,0.45,0.43,1.06,,,,,,
May,2.18,1.81,1.41,1.94,2.30,0.84,,,,,,
June,1.17,2.04,2.84,2.72,2.51,3.44,,,,,,
July,1.98,1.20,2.68,2.66,0.17,3.42,,,,,,
August,3.23,2.42,2.66,4.35,0.94,4.36,,,,,,
September,2.66,2.56,1.43,2.07,1.63,1.81,,,,,,
October,0.85,3.06,2.66,2.81,3.48,2.62,,,,,,
November,3.69,4.17,1.46,4.00,1.13,1.18,,,,,,
December,1.50,2.31,1.03,2.01,1.61,2.24,,,,,,
Total,30.76,28.23,21.98,30.00,20.70,26.49,,,,,,
Calc annual,30.76,28.23,21.98,30.00,20.70,26.49,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
