HINGHAM-SOUTHBURGH,,,,,,,,,,,,,,,,,,,,
Grid ref,TG003055,Long,0.95689528,Lat,52.61033,Elevation,190,ft,,,,,,,,,,,,
Station no,1411/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.07,0.81,1.17,3.36,2.77,1.32,2.01,2.02,2.98,,,,
February,,,,,,,,1.2,1.06,3.56,3.09,1.16,1.51,2.67,2.5,1.61,,,,
March,,,,,,,,0.79,1.09,0.59,3.63,2.98,0.67,2.31,1.98,0.93,,,,
April,,,,,,,,1.64,1.98,1.95,3.42,1.75,2.31,0.45,0.43,1.06,,,,
May,,,,,,,,3.43,2.17,1.95,2.18,1.81,1.41,1.94,2.3,0.84,,,,
June,,,,,,,,2.69,0.71,2.43,1.17,2.04,2.84,2.72,2.51,3.44,,,,
July,,,,,,,,1.99,2.44,5.96,1.98,1.2,2.68,2.66,0.17,3.42,,,,
August,,,,,,,,2.85,1.69,2.43,3.23,2.42,2.66,4.35,0.94,4.36,,,,
September,,,,,,,,2.12,1.25,2.79,2.66,2.56,1.43,2.07,1.63,1.81,,,,
October,,,,,,,,2.23,3.4,0.79,0.85,3.06,2.66,2.81,3.48,2.62,,,,
November,,,,,,,,1.43,2.39,4.45,3.69,4.17,1.46,4,1.13,1.18,,,,
December,,,,,,,,1.99,1.95,1.83,1.5,2.31,1.03,2.01,1.61,2.24,,,,
Total,,,,,,,,26.43,20.94,29.9,30.76,28.23,21.98,30,20.7,26.49,,,,
