AUCHENCAIRN (BALCARY),,,,,,,,,,,,,,,,,,,,
Grid ref,NX820495,Long,-3.8383117,Lat,54.826395,Elevation,41,ft,,,,,,,,,,,,
Station no,"""5020/8/5""",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.94,3.96,6.1,6.16,3.65,1,8.42,,5.56,,,,,,
February,,,,,,1.19,6.23,2.24,5.86,1.95,3.04,1.92,,1.84,,,,,,
March,,,,,,1.6,1.83,2.64,3.6,6.1,3.85,4.16,,0.33,,,,,,
April,,,,,,0.43,4.08,0.63,2.29,2.68,2.21,1.76,,3.26,,,,,,
May,,,,,,1.2,1.78,5.58,0.34,0.9,4.5,3.97,,2.49,,,,,,
June,,,,,,2.85,4.35,6.33,2.78,1.22,0.38,0.89,,4.84,,,,,,
July,,,,,,2.18,6.24,7.45,5.45,5.41,4.19,3.48,,4.41,,,,,,
August,,,,,,2.01,3.22,4.65,1.36,1.24,6.65,5.28,,4.3,,,,,,
September,,,,,,4.65,4.63,5.02,2.94,4.44,2.61,4.34,,5.17,,,,,,
October,,,,,,2.36,4.78,10.16,4.22,4.57,6.12,5.58,,5.04,,,,,,
November,,,,,,4.34,2.04,9.15,7.79,5.85,2.84,1.08,,8.93,,,,,,
December,,,,,,3.07,4.81,4.68,2.27,6.35,2.22,6.9,,5.51,,,,,,
Total,,,,,,28.82,47.95,64.63,45.06,44.36,39.61,47.78,50.06,51.68,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1938 May 5.58, April 0.64",,,,,,,,,,,,,,,,,,,,
