WOGDEN FOOT (CAT CLOUGH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE182025,Long,-1.72698,Lat,53.518862,Elevation,889,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3158/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.8,4.5,2.69,5.21,7.1,7.1,6.79,3.67,4.24,4.96,6.88,8.53,5.96,6.92,5.36,12.18,2.97,3.36,5.26,6.88,2.26,4.63,3.7,7.23,3.72,5.43,5.55,7.82
February,,,7.4,0.3,8.83,3.86,6.5,2.5,4.93,3.45,6.37,1.81,4.37,3.05,6.37,8.33,5.62,4.58,3.39,8.69,5.62,1.78,2.83,4.2,3.94,2.2,4.08,6.92,0.25,4.39
March,,,3,4.7,2.47,4.42,4.05,1.23,4.13,3.72,7.07,3.03,2.27,1.12,1.69,2.69,7.71,2.41,1.84,2.45,6.46,2.53,3.19,3.7,3.56,2.21,3.2,3.36,2.05,2.9
April,,,1.45,2.9,4.25,2.07,3.06,0.6,2.73,4.37,3.27,2.57,3.58,2.95,3.23,2.29,5.51,2.84,5.21,5.36,3.02,2.76,3.8,0.86,1.71,3.13,0.4,1.44,6.33,2.63
May,,,1.75,2.87,0.59,1.73,3.15,3.97,2.42,0.79,3.29,3.89,3.42,3.4,4.28,2.9,4.3,2.69,3,2.94,4.63,2.58,2.81,4.77,5,1.25,1.57,4.11,1.23,2.37
June,,,2.95,1.3,4.21,4.58,1.44,3.98,3.07,0.75,1.02,1.12,3.19,2.35,3.8,4.32,3.13,5.88,0.67,1.36,0.98,2.34,4.58,2.26,3.49,3.95,0.96,5.41,2.78,1.59
July,,,3.7,2.3,1.82,4.02,2.7,3.95,6.72,4,2.11,4.36,2.34,3.02,1.99,4.36,2.23,1.33,3.73,2.68,2.58,2.59,4.39,4.26,0.98,8.88,3.64,5.25,2.89,5.53
August,,,0.6,3,1.98,1.39,1.05,3.16,1.84,1.4,5.06,6.01,4.65,4.36,3.69,4.8,0.46,5.6,3.32,3.55,5.81,3.13,4.12,6.9,0.73,9.14,6.12,3.63,0.93,4.96
September,,,2.3,3.1,5.5,5.07,1.79,2.51,2.24,3.95,0.49,2.95,4.69,6.65,2.62,7.29,2.11,1.81,2,6.48,3.03,4.89,3.19,5.02,1.7,4.5,5.96,4.43,0.2,4.35
October,,,5.4,5.3,11.25,5.82,4.03,11.27,3.83,6.16,6.01,5.74,2.45,5.4,8.35,2.05,1.2,2.83,4.89,2.56,1.25,7.53,2.66,7.04,3.27,3.16,4.65,4.06,4.2,8.88
November,,,2.6,3,8.7,7.69,2.78,6.47,9.36,9.72,4.15,1.81,4.63,8.91,0.63,10.04,6.94,2.16,8.11,7.45,12.15,2.92,4.09,8.65,2.67,2.34,3.65,1.41,6.22,7.02
December,,,0.7,6.52,4.14,5.36,3.66,4.93,4.59,4.83,2.92,4.22,3.04,5.63,3.79,5.42,5.87,4.92,10.46,3.3,9.2,4.4,2.32,8.46,6.67,6.69,6.38,5.35,10.21,6.81
Total,,,36.65,39.79,56.43,51.22,41.31,51.67,52.65,46.81,46,42.47,45.51,55.37,46.4,61.41,50.44,49.23,49.59,50.18,59.99,44.33,40.24,60.75,37.42,54.68,44.33,50.8,42.84,59.25
