"SOUTHWELL (THE NURSERIES)",,,,,,,,,,,,
Grid ref,SK695542,Long,-0.963929,Lat,53.080511,,,,,,,
Station no,2619/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.27,1.80,0.74,1.25,2.52,4.31,1.41,3.07,3.19,4.90,,
February,2.82,0.38,1.34,2.66,2.55,0.73,2.89,4.50,0.22,2.67,,
March,3.30,2.50,0.89,2.21,2.81,0.96,2.07,1.74,1.47,1.57,,
April,1.42,1.81,2.47,0.19,1.01,1.95,0.33,0.60,2.58,1.20,,
May,2.87,1.96,2.42,3.06,3.58,0.42,1.23,2.24,0.70,1.07,,
June,1.14,2.05,2.23,3.40,3.34,3.91,1.89,4.15,1.31,1.37,,
July,0.76,0.38,2.05,2.05,0.51,3.75,3.68,4.75,1.49,3.69,,
August,5.31,2.40,1.68,5.38,1.00,5.64,3.19,2.32,0.58,5.65,,
September,1.28,2.09,1.09,2.92,0.72,2.49,4.79,2.31,0.07,3.75,,
October,1.02,2.69,2.44,3.38,1.40,1.17,1.16,1.91,2.09,5.49,,
November,5.31,1.67,1.39,4.96,1.40,0.84,2.08,0.96,2.33,3.25,,
December,1.90,2.04,0.96,2.05,2.12,2.02,1.58,3.29,3.51,3.49,,
Total,29.40,21.77,19.70,33.51,22.96,28.19,26.30,31.84,19.54,38.10,,
Calc annual,29.40,21.77,19.70,33.51,22.96,28.19,26.30,31.84,19.54,38.10,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
