"SOUTHWELL, THE NURSERIES",,,,,,,,,,,,
Grid ref,SK695542,Long,-0.963929,Lat,53.080511,,,,,,,
Station no,2619/2,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.64,0.94,3.33,1.03,,,,
February,,,,,2.82,0.93,2.47,1.85,,,,
March,,,,,1.71,2.32,1.70,1.39,,,,
April,,,,,1.36,1.65,0.61,1.78,,,,
May,,,,,2.11,0.75,1.48,3.20,,,,
June,,,,,0.88,3.26,2.03,2.66,,,,
July,,,,,3.45,2.05,0.40,2.11,,,,
August,,,,,2.33,3.49,1.82,2.34,,,,
September,,,,,1.53,2.07,1.17,1.01,,,,
October,,,,7.06,0.49,1.17,5.65,,,,,
November,,,,1.01,1.07,2.89,2.97,,,,,
December,,,,0.97,1.47,0.74,2.89,,,,,
Total,,,,,21.86,22.26,26.52,,,,,
Calc annual,0.00,0.00,0.00,9.04,21.86,22.26,26.52,17.37,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,NaN,NaN,,
