BATTERSEA-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ275773,Long,-0.1653283,Lat,51.480295,Elevation,23,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.15,3.6,0.68,1.51,0.92,1.41,1.19,3.64,2.48,0.44,3.95,0.9,1.03,2.28,2.41,,1.36,1.91,0.99,2.7,,,,,,
February,,,,,,0.68,1.73,1.47,1.37,0.42,2.16,1.22,1.52,0.79,2.23,3.25,3.9,0.48,0.66,1.82,0.4,0.22,1.53,2.12,0.27,,,,,,
March,,,,,,3.59,1.03,0.92,2.47,3.27,0.89,1.37,2.75,2.29,4.1,0.68,3.84,,0.87,2.7,0.71,1,0.85,1.96,0.73,,,,,,
April,,,,,,1.46,0.62,3.28,2.5,1.73,1.62,1.47,0.04,2.51,0.82,1.17,1,,2.13,2.57,2.6,1.14,,1.35,2.8,,,,,,
May,,,,,,1,1.3,1.89,2,1.66,2.24,1.22,1.19,1.61,1.6,2.88,1.74,2.35,1.79,0.22,0.66,1.14,0.83,1.83,2.47,,,,,,
June,,,,,,4.42,3.18,3.4,1.92,3.16,2,2.12,3.24,0.36,1.83,0.89,1.45,2.26,0.96,1.31,1.91,0.17,0.94,0.24,2.29,,,,,,
July,,,,,1.79,1.98,0.52,1.11,3.49,3.32,2.77,0.94,0.99,2.17,1.52,3.89,0.99,4.32,6.7,2.51,3.56,0.06,,1.7,3.12,,,,,,
August,,,,,1.05,2.99,0.9,1.88,2.9,1.66,2.04,1.23,4.13,1.44,1.54,2.41,4.86,3.56,1.41,1.71,1.85,0.82,1.24,1.6,2.01,,,,,,
September,,,,,1.84,1.69,1.73,0.66,1.25,2.43,0.58,1.45,2.11,1.76,0.81,1.75,1.43,1.95,5.29,1.01,3.52,1.96,1.27,1,2.53,,,,,,
October,,,,,1.74,1.01,3.41,2.97,2.55,4.19,2.33,2.83,2.12,2.91,1.08,2.23,3.09,2.81,1.26,0.66,0.89,0.74,0.65,4.63,3.9,,,,,,
November,,,,,1.82,3.28,4.24,2.1,0.59,0.75,3.03,3.01,1.67,1.34,3.5,2.11,4.07,1.31,2.25,1.09,0.97,1.43,0.85,,2.31,,,,,,
December,,,,,2.05,0.89,2.09,3.41,2.03,1.68,2.88,4.51,2.75,0.88,5.94,5.37,2.27,0.91,2.15,2.88,,0.98,2.27,1.16,,,,,,,
Total,,,,,,24.14,24.35,23.77,24.58,25.19,23.95,22.56,26.15,20.54,25.41,30.58,29.54,,27.75,20.89,,11.02,,,,,,,,,
