"HALESOWEN (FRANKLEY)",,,,,,,,,,,,
Grid ref,SP008801,Long,-1.989663,Lat,52.418893,,,,,,,
Station no,2438,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.02,2.58,0.85,1.03,2.60,3.57,0.96,2.67,2.99,6.19,,
February,3.47,0.53,1.40,2.67,1.66,0.52,3.19,4.74,0.23,2.74,,
March,4.91,2.41,1.71,2.71,3.17,1.04,2.52,1.36,2.01,1.60,,
April,2.72,2.80,3.03,0.65,1.33,1.21,0.15,0.64,3.46,1.26,,
May,3.22,2.45,2.61,2.52,4.70,0.53,1.92,2.44,1.34,1.45,,
June,1.19,1.48,2.16,2.89,2.72,2.13,1.35,3.38,1.01,2.41,,
July,1.03,1.03,3.15,3.41,1.02,3.84,3.13,4.37,1.52,3.57,,
August,4.30,3.42,2.71,3.74,0.39,4.81,3.32,3.14,1.85,3.44,,
September,2.60,1.97,2.69,1.72,1.71,2.92,4.17,3.53,0.14,4.99,,
October,0.65,4.38,2.26,3.44,1.63,1.59,1.47,2.21,2.81,5.99,,
November,8.51,2.16,1.41,5.46,2.86,0.60,2.06,1.83,4.61,4.04,,
December,2.63,3.12,1.22,2.24,2.45,3.37,2.68,3.62,5.92,3.43,,
Total,38.25,28.33,25.20,32.48,26.24,26.13,26.92,33.93,27.89,41.11,,
Calc annual,38.25,28.33,25.20,32.48,26.24,26.13,26.92,33.93,27.89,41.11,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
