BEARSTEAD-THURNHAM-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ816559,Long,0.602073,Lat,51.273308,Elevation,226,ft,,,,,,,,,,,,
Station no,359/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.98,1.75,2.31,3.9,1.26,1.76,3.11,2.21,1.05,1.91,4.24,4.63,2,3.48,2.51,3.37
February,,,,,1.66,2.84,1.68,2.21,1.03,4.51,7.23,1.1,1.31,2.23,2.45,1.25,3.49,2.6,0.14,1.92
March,,,,,1.23,1.53,5.61,0.79,0.92,1.02,3.68,4.27,0.23,3.09,1.72,0.55,1.07,1.84,1.56,2.32
April,,,,,1.12,2.84,1.41,1.41,1.51,2.54,2.27,1.59,1.81,0.26,0.35,1.18,0.23,1.8,2.37,0.62
May,,,,,2.44,3.05,1.35,1.95,1.97,1.71,2.21,0.97,2.21,1.95,3.95,0.35,1.49,2.16,0.64,2.07
June,,,,1.17,0.96,2.43,2.38,3.79,0.63,1.35,1.96,0.6,2.14,3.38,2.5,2.03,2.26,4.11,1.11,1.41
July,,,,1.22,2.64,2.54,3.77,1.99,0.62,2.18,2.32,0.82,3.96,2.91,2.07,3.5,3.29,1.97,2.41,3.06
August,,,,3.4,2.3,5.72,0.04,3.32,0.81,2.64,4.43,3.63,2.07,2.85,2.68,3.12,2.43,4.57,0.83,3.89
September,,,,1.79,1.99,2.84,1.24,1.87,1.68,3.08,3.77,3.49,2.64,1.55,2.25,2.25,2.74,2.75,0.29,3.41
October,,,,5.33,2.43,2.11,0.8,1.63,6.79,0.21,1,2.48,2.23,1.93,5.54,1.03,1.12,3.26,2.54,6.63
November,,,,4.49,1.15,4.82,1.19,1.4,3.26,5.97,4.04,5.27,1.33,5.63,1.19,0.9,3.32,1.61,3.64,5.76
December,,,,2.16,4.54,2.69,2.77,2.86,1.31,2.26,2.94,2.73,1.25,1.84,2.16,3,3.35,3.55,5.37,3.78
Total,,,,,24.44,35.16,24.55,27.12,21.79,29.23,38.96,29.16,22.23,29.53,31.1,23.79,26.79,33.7,23.41,38.24
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
