CHESTERFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK385715,Long,-1.424598,Lat,53.239139,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922
January,,,,,,,3.01,2.51,0.53,1.42,4.16,1.06,1.49,3.89,1.02,1.85,2.49,2.77,1.69,3.36,1.99,1.12,3.48,3.65,2.89,3.64,1.4,4.99,3.12,1.49,0.12,0.27,2.78,3.46,3.6,2.03,3.79,2.05,0.55,1.27,3.73,1.7,1.69,1.09,2.18,3.59,0.72,2.36,0.53,3.16,4.25,2.27,1.1,3.32,2.76,1.13,3.49,0.95,0.99,1.77,2.18,1.16,3.72,3.91,1.36,2.82,1.09,2.28,2.17,2.94,3.6,2.93,3.43
February,,,,,,,1.86,1.01,0.38,2.45,0.64,4.2,0.66,0.59,1.87,1.83,3.3,2.53,1.72,2.01,1.84,1.94,2.61,0.81,1.75,0.87,3.15,1.72,1.25,3.65,1.59,4.41,1.78,2.35,1.79,3.08,0.59,0.43,1.04,1.69,0.77,0.06,2.28,3.2,3,0.12,1.01,3.36,1.61,2.05,4.13,1.14,1.6,1.49,4.26,1.36,2.58,2.02,1.76,0.51,3.23,1.63,1.48,1.2,1.76,3.45,4.21,0.53,1.65,2.49,2.5,0.27,2.85
March,,,,,,,0.8,2.04,0.77,2.41,2.36,3.71,3.88,0.52,2.67,0.68,1.22,2.07,2.48,2.24,2.25,1.18,1.93,2,1.33,1.05,4.69,3.3,0.56,0.86,0.96,2.84,1.31,0.7,2.02,1.22,2.42,1.39,2.82,3.93,1.71,1.33,1,0.51,1.5,2.08,2.41,2.71,1.06,1,0.56,2.28,1.77,3.29,2.27,2.62,1.79,1.84,2.67,3.04,0.56,1.13,3.65,3.92,2.38,0.7,4.21,1.73,0.87,4.42,1.9,1.59,1.54
April,,,,,,,3.09,2.34,3.73,3.56,0.69,1.92,1.81,0.68,1.92,1.87,1.29,2.98,1.93,1.83,0.25,2.25,2.83,0.55,2.32,0.85,2.53,2.79,1.61,3.12,1.49,1.06,4.36,2.48,2.42,1.66,1.96,0.99,1.51,3.33,0.48,1.87,0.85,0.5,1.96,1.88,0.93,1.54,2.54,2.22,1.16,1.24,2.87,1.4,1.66,1.8,0.45,1.44,2.04,1.2,2.12,0.94,0.35,3.07,0.91,0.95,1.02,1.63,1.23,1.77,5.48,1.2,3.07
May,,,,,,2.05,2.4,0.86,1.37,0.17,3.35,0.83,3.85,0.77,1.31,2.9,0.72,2.68,1.05,5.36,1.22,1.4,3.13,1.82,0.77,1.31,0.68,4.12,4.92,2.68,2.42,1.88,1.68,1.28,1.19,1.51,7.46,1.72,0.84,2.97,2.59,3.09,2.85,3.62,1.94,0.51,0.37,1.03,1.77,2.82,1.18,1.04,2.33,2.9,1.64,0.39,1.97,3.09,2.13,1.27,2.06,1.6,2.61,2.08,1.2,1.16,2.05,1.75,2.36,1.21,3.23,1.27,0.7
June,,,,,,2.1,1.59,1.79,1.36,3.35,4.26,2.29,1.97,5.04,0.81,1.13,3.79,2.1,0.55,0.75,0.98,4.23,4.02,1.29,0.46,2.96,2.63,1.8,2.58,5.01,4.93,2.82,1.97,2.28,1.26,2.85,1.24,0.34,2.4,0.4,1.77,4.21,4,0.85,2.12,0.98,2.08,3.45,1.22,2.08,2.45,1.25,1.43,1.24,0.79,3.16,1.8,3.43,1.48,2.63,1.67,1.9,3.38,0.41,1.76,0.86,2.11,1.91,0.36,0.56,2.15,0.29,0.76
July,,,,,,4.27,2.46,1.71,1.84,0.6,1.2,3.72,1.65,2.06,0.31,2.77,2.94,3.19,0,0.05,0.83,3.39,5,1.77,1.2,4.54,1.43,2.39,0.73,2.56,4.73,1,3.54,3.04,3.22,0.46,3.04,1.16,4.27,2.36,1.99,2.19,2.29,2.72,2.12,3.39,0.95,0.59,1.11,2.49,2.72,5.26,1.89,2.18,1.83,2.11,0.65,1.83,2.24,2.72,1.86,0.04,4.56,1.23,3.57,3.39,2.15,0.86,2.53,3.59,3.81,0.44,3.57
August,,,,,,0.56,4.55,7.65,4.34,5.29,4.45,0.33,1.82,2.26,1.03,4.29,3.38,3.79,2.28,0.88,0.66,1.19,2.28,2.6,2.55,4.72,2.11,4.88,6.61,4.22,1.09,4.78,1.39,0.52,1.76,2.48,2.58,2.62,2.46,2.83,2.79,3.26,2.02,1.52,2.15,2.44,1.42,1.88,2.8,1.33,4.39,1.12,3.83,4.42,3.65,2.71,1.34,1.85,2.82,2.03,3.82,1.38,4.82,2.05,1.36,1.87,1.18,4.05,2.02,2.77,0.63,3.39,6.58
September,,,,,,0.4,3.72,3.01,2.03,3.14,2.05,2.01,3.54,2.2,2.73,0.05,4.51,2.72,2.46,4.02,1.04,4.8,4.12,2.35,2.15,3.11,3.28,2.92,2.6,1.73,3.77,1.29,1.3,4.23,1.29,2.28,1.05,2.24,0.83,1.71,1.54,1.04,2.77,1.18,0.46,0.74,4.32,1.88,0.47,3.54,0.52,0.82,1.39,2.87,1.14,1.15,0.71,0.37,1.71,1.98,0.16,1.54,1.16,2.26,1.06,0.66,1.04,0.65,5.72,1.67,1.19,0.62,1.85
October,,,,,,4.39,2.16,1.73,4.65,3.25,1.72,1.65,3.6,3.73,2.96,6.13,2.93,2.56,2.8,1.41,5.58,2.91,5.22,3.34,3.25,5.77,4.4,2.22,3.93,0.77,7.23,3.08,4.49,3.11,1.3,6.44,4.26,1.87,0.53,4.1,1.36,3.73,3.68,1.52,4.16,2.46,3.54,1.03,2.73,2.61,2.59,1.66,2.41,5.88,0.36,1.41,5.12,4.54,1.12,3.33,2.43,1.76,2.96,3.05,2.37,1.01,2.62,2.75,1.05,2.66,1.7,3.27,1.03
November,,,,,,0.67,0.78,1.15,0.88,2.4,2.3,2.09,0.55,1.72,3.18,2.71,2.78,0.8,1.04,1.72,1.95,0.85,3.43,2.7,4.15,4.37,3.86,3.35,2.93,0.88,1.8,2.41,2.94,3.09,1.13,2.38,1.64,1.67,4.99,0.85,3.88,2.86,1.36,1.44,1.63,3.81,1.39,2.39,2.4,1.56,2.02,3.84,2.19,1.63,1.38,2.99,2.19,2,1.43,0.3,4.07,2.42,1.48,2.77,3.08,2.75,3.59,1.26,1.44,1.82,1.04,1.54,1.19
December,,,,,,0.63,1.68,0.14,2.07,2.26,2.36,1.67,1.52,1.6,1.53,0.88,2.02,1.89,7.47,3.9,2.41,1.3,3.25,0.08,1.85,1.6,6.53,2.47,1.89,0.78,3.14,0.91,3.79,1.71,1.87,0.65,4.47,2.17,2.44,1.38,0.66,4.42,0.65,3.54,1.79,2.83,3.89,3.46,2.61,1.95,3.89,5.69,1.85,1.66,1.44,0.54,1.45,2.2,1.58,4.74,4.78,5.17,3.03,1.11,5.61,6.47,2.58,1.68,3.56,4.5,2.5,2.5,3.34
Total,,,,,,,28.1,25.94,23.95,30.3,29.54,25.48,26.34,25.06,21.34,27.09,31.37,30.08,25.47,27.53,21,26.56,41.3,22.96,24.67,34.79,36.69,36.95,32.73,27.75,33.27,26.75,31.33,28.25,22.85,27.04,34.5,18.65,24.68,26.82,23.27,29.76,25.44,21.69,25.01,24.83,23.03,25.68,20.85,26.81,29.86,27.61,24.66,32.28,23.18,21.37,23.54,25.56,21.97,25.52,28.94,20.67,33.2,27.06,26.42,26.09,27.85,21.08,24.96,30.4,29.73,19.31,29.91
