TEMPLE SOWERBY - Mrs Burton,,,,,,,,,,,,,,,,,,,,
Grid ref,NY610273,Long,-2.6057689,Lat,54.639301,Elevation,349,ft,,,,,,,,,,,,
Station no,RR6574,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,3.26,1.28,2.9,2.71,,,,,,
February,,,,,,,,,,,4.68,2.65,1.96,1.56,,,,,,
March,,,,,,,,,,2.41,1.61,1.27,3.23,4.02,,,,,,
April,,,,,,,,,,2.43,2.16,1.42,0,4.62,,,,,,
May,,,,,,,,,,1.15,1.87,1.59,1.42,0.57,,,,,,
June,,,,,,,,,,2.26,1.61,3.06,5.77,1.22,,,,,,
July,,,,,,,,,,3.7,3.76,0.58,3.14,0.61,,,,,,
August,,,,,,,,,,3.25,5.43,2.69,3.38,0.91,,,,,,
September,,,,,,,,,,2.03,0.5,3.9,2.14,1.95,,,,,,
October,,,,,,,,,,2.98,1.98,2.31,3,1.31,,,,,,
November,,,,,,,,,,1.45,2.22,3.68,2.53,3.74,,,,,,
December,,,,,,,,,,3.29,2.52,7.01,3.65,2.29,,,,,,
Total,,,,,,,,,,,31.6,31.44,33.12,25.51,,,,,,
