"KINTYRE, KILLEAN MANSE MUASDALE",,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,RR6120,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.27,3.68,4.06,6.43,4.98,3.12,4.63,2.98,3.82,4.01,,
February,5.78,3.94,2.46,4.04,4.24,3.23,4.07,2.27,2.99,2.64,,
March,0.62,4.35,2.73,5.62,2.22,4.42,2.89,4.04,4.60,2.75,,
April,3.16,3.76,2.52,2.44,4.64,2.51,1.82,3.25,2.32,3.94,,
May,3.83,2.18,2.76,2.73,2.95,1.65,4.46,3.57,1.92,2.63,,
June,3.70,4.04,2.22,1.05,1.42,1.84,1.87,4.12,3.25,3.13,,
July,3.12,0.77,4.13,3.70,2.96,3.35,3.06,3.66,3.42,4.65,,
August,4.24,4.98,2.19,5.51,4.57,4.67,3.82,5.34,2.96,3.22,,
September,4.36,4.95,4.83,3.32,5.07,3.03,2.67,2.33,5.22,1.69,,
October,4.82,5.25,3.01,10.12,3.03,4.56,5.90,5.00,1.68,4.65,,
November,5.73,5.40,6.59,3.85,3.95,6.16,4.50,4.47,3.33,2.41,,
December,8.53,4.98,5.00,5.25,4.71,3.57,3.66,4.90,5.18,3.80,,
Total,55.16,48.28,42.50,54.06,44.74,42.11,43.35,45.93,40.69,39.52,,
Calc annual,55.16,48.28,42.50,54.06,44.74,42.11,43.35,45.93,40.69,39.52,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
