"MUASDALE, KILLEAN HOUSE (1926) FROM APRIL GRIANAN (NOT MANSE)",,,,,,,,,,,
Grid ref,NR 68076 40751,Long,-5.683558,Lat,55.604938,Elevation,10,ft,,,
Station no,RR6120,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,5.52,8.78,3.02,
February,,,,,,,,2.77,4.46,3.12,
March,,,,,,,,3.11,4.46,0.93,
April,,,,,,,2.2,3.45,2.42,1.67,
May,,,,,,,2.1,3.23,1.46,4.62,
June,,,,,,,1.83,4.27,5.36,2.75,
July,,,,,,,3.24,3.31,2.77,3.56,
August,,,,,,,4.35,1.93,4.42,6.39,
September,,,,,,,3.2,4.76,4.11,2.92,
October,,,,,,,5.53,4.43,7.19,5.49,
November,,,,,,,6.85,6.42,7.24,7.36,
December,,,,,,,2.3,1.7,7.44,11.67,
Total,,,,,,,,44.9,60.11,53.5,
,,,,,,,,,,,
Station no,RR6120,,,,,,,,,,
Midas,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,
