REIGATE-DOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ265506,Long,-0.18864,Lat,51.24065,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,1.82,2.87,2.57,2.02,4.25,2.46,1.07,1.8,3.46,2.91,0.65,2.57,4.64,2.22,0.99,2.19,0.85,3.14,3.97,1.59,,,,,,,,
February,,,1.6,4.11,2.28,3.34,0.42,0.69,1.26,2.97,0.84,0.05,1.42,4.03,2.03,0.21,0.41,2.9,1.27,3.02,4.73,1.79,,,,,,,,
March,,,1.7,0.97,1.9,1.87,1.71,1.81,4.02,2.56,2.85,2.01,1.46,0.77,1.51,1.94,3.69,4.45,1.62,0.69,0.89,2.26,,,,,,,,
April,,,3.18,1.29,1.67,1.63,1.71,1.98,2.24,2.64,2.5,0.71,1.07,0.05,1.98,2.07,0.94,1.68,1.18,3,1.42,2.24,,,,,,,,
May,,,1.72,2,0.57,3.28,4.43,1.81,0.99,2.59,1.73,2.42,1.58,0.97,1.84,0.65,0.25,1.38,3.42,1.34,1.34,1.19,,,,,,,,
June,,,2.67,1.79,1.77,1.81,1.02,0.68,3.95,0.8,3.32,1.94,4.24,0.85,2.88,0.38,2.87,2.35,1.43,0.97,2.56,1.91,,,,,,,,
July,,,3.2,2.8,1.64,0.26,3.14,0.71,5.73,2.33,4.85,4.54,2,3.15,5.53,5.43,1.49,1.19,0.94,0.67,1.35,,,,,,,,,
August,,,1.78,1.2,1.1,1.04,1.34,2.6,1.82,3.29,2.98,4.71,3.38,0.75,2.77,2.8,2.66,2.99,1.11,0.74,3.15,,,,,,,,,
September,,,3,4.77,3.22,5,2.45,2.84,1.02,1.02,1.08,1.18,2.31,1.64,2.18,0.46,8.73,2.08,0.46,2.93,1.29,,,,,,,,,
October,,,6.09,2.8,1.54,4.39,3.34,1.69,1.78,5.31,1.34,7,4.11,4.09,4.28,3.47,4.6,0.62,3.65,2.15,2.23,,,,,,,,,
November,,,3,4.15,0.89,3.28,4.07,4.71,4.46,1,2.43,3.54,2.97,3.1,4.91,5.73,1.72,1.35,4.01,5.48,3.05,,,,,,,,,
December,,,2.8,0.97,3.82,1.42,4.72,1.83,1.76,1.94,0.76,4.27,2.05,3.18,2.46,2.87,4.14,3.91,2.9,1.54,3.32,,,,,,,,,
Total,,,32.56,29.72,22.97,29.34,32.6,23.81,30.1,28.25,28.14,35.28,27.24,25.15,37.01,28.23,32.49,27.09,22.84,25.67,29.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901 June Gauge moved 1 mile W to Leith Cottage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leith Cottage only 2 full years of data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
