BOSPORTHENIS-NEW-MILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SW454347,Long,-5.56517,Lat,50.15807,Elevation,540,ft,,,,,,,,,,,,
Station no,RR8690,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,2.65,3.4,4.75,3.05,2.3,3.2,3.35,,,,,
February,,,,,,,,1.65,1.55,2.65,1.6,0.1,3.55,4.75,2.25,,,,,
March,,,,,,,,2.4,4.05,-999,1.85,2.4,1.2,0.2,1.55,,,,,
April,,,,,,,,1.4,1.4,-999,3.15,1.8,1.55,0.15,,,,,,
May,,,,,,,,1.35,1.45,3.35,7.2,2.95,2.2,1.45,,,,,,
June,,,,,,,,0.1,3.15,0.7,3.2,2.55,1.7,1.3,,,,,,
July,,,,,,,,1.6,5.1,4.4,5.25,2.05,1.05,4.35,,,,,,
August,,,,,,,,2.5,3.2,3.65,4.05,7.9,4.9,1.9,,,,,,
September,,,,,,,,4.4,-999,1.6,2,5.55,4.1,2.65,,,,,,
October,,,,,,,,3.4,-999,6.15,2.05,9.3,3.95,3.75,,,,,,
November,,,,,,,,3.55,7.4,3.5,5.15,4.95,6,1.95,,,,,,
December,,,,,,,,3.9,4.45,2.9,4.25,6.4,2.65,4.6,,,,,,
Total,,,,,,,,,39.05,38.55,44.5,49,35.15,30.25,,,,,,
,,,,,,,,,,,,,,,,,,,,
Mulfra Newmill,,,,,,,,,,,,,,,,,,,,
Elevation on sheet initially says 700ft then changed to 600ft? Actually buildings much lower down hill,,,,,,,,,,,,,,,,,,,,
1888 Sept Oct Bracketed Combined total 4.65,,,,,,,,,,,,,,,,,,,,
1889 Mar Apr Bracketed Combined total 6.25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Rejected from survey as 5in low,,,,,,,,,,,,,,,,,,,,
