"WYRESDALE ABBEYSTEAD RESERVOIR",,,,,,,,,,,,
Grid ref,SD562543,Long,-2.669397,Lat,53.982887,,,,,,,
Station no,3063,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.35,1.93,3.50,4.85,4.12,2.47,5.89,1.99,4.39,2.40,,
February,4.35,2.28,1.59,4.82,4.12,2.32,3.30,2.04,3.63,2.69,,
March,0.68,4.60,3.53,4.17,3.26,2.59,3.80,3.86,3.13,3.54,,
April,2.54,2.29,1.91,2.35,4.19,3.53,1.60,2.16,3.22,4.00,,
May,1.35,1.03,3.29,4.37,2.95,1.38,5.93,3.72,3.19,2.66,,
June,3.78,1.49,1.26,1.62,1.68,1.77,2.91,8.95,2.64,2.82,,
July,2.89,1.47,5.12,3.98,3.26,3.26,2.76,3.56,4.34,8.15,,
August,6.32,3.63,3.33,7.49,3.83,4.84,4.75,5.98,5.31,4.32,,
September,1.98,1.68,1.27,6.58,2.04,4.20,1.38,0.97,6.30,2.81,,
October,7.29,4.54,3.98,9.56,3.34,3.80,7.72,5.14,2.26,5.47,,
November,3.65,5.27,3.15,3.90,3.50,4.70,3.64,4.78,4.40,1.92,,
December,4.63,4.80,3.94,3.90,3.64,1.01,4.36,5.42,4.22,8.03,,
Total,45.81,35.01,35.87,57.59,39.93,35.87,48.04,48.57,47.03,48.81,,
Calc annual,45.81,35.01,35.87,57.59,39.93,35.87,48.04,48.57,47.03,48.81,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
