WARRINGTON,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ604884,Long,-2.5969154,Lat,53.390942,Elevation,33,ft,,,,,,,,,,,,
Station no,RR2087,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,,,2.83,2.84,4.4,3.1,2.93,0.8,3,,,
February,,,,,,,,,,,1.4,1.58,3.85,0.8,2.19,1.5,2.2,,,
March,,,,,,,,,,,0.6,2.96,0.8,1.4,0.98,2.5,0.8,,,
April,,,,,,,,,,,2.2,1.06,0.35,1.54,0.65,0.6,,,,
May,,,,,,,,,,,1.46,1.62,2,1.02,1.99,1.6,,,,
June,,,,,,,,,,,1.7,3.23,4,3.74,1.47,3.7,,,,
July,,,,,,,,,,,4.12,2.72,4,4.84,2.32,5.6,,,,
August,,,,,,,,,,,4.08,4.48,4.08,2.98,2.11,3.4,,,,
September,,,,,,,,,,4.37,2.08,1.63,2.5,2.25,2.4,1.1,,,,
October,,,,,,,,,,3.62,2.3,4.17,4.8,3.54,2.4,4.6,,,,
November,,,,,,,,,,4,3.3,2.3,5.6,2.35,3.5,0.5,,,,
December,,,,,,,,,,2.64,2.11,1.24,5.1,0.69,4.1,1.2,,,,
Total,,,,,,,,,,,28.18,29.83,41.48,28.25,27.04,27.1,,,,
,,,,,,,,,,,,,,,,,,,,
"Observer T G Rylands lived at Heath House, Bewsey St in 1861 and was almost certainly part of Rylands Brothers, Wire weavers.",,,,,,,,,,,,,,,,,,,,
NGR middle of Bewsey Street.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOT USED TYRain_1850-1859_F_pt1-page-113.csv - (1853-1856) data are the same values as in the TYR used (page 112) here but rounded to 1 decimal,,,,,,,,,,,,,,,,,,,,
