NORTHWICH-BARNTON,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ630752,Long,-2.5562758,Lat,53.272486,Elevation,175,ft.,,,,,,,,,,,,,
Station no,2778,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.73,2.08,2.35,3.3,5.56,1.98,3.68,2.35,2.74,1.09,1.7,,,,,,
February,,,,,0.63,3.96,3.68,1.47,2.48,0.98,0.24,2.33,0.17,2.38,0.29,,,,,,
March,,,,,0.99,0.95,1,2.95,1.6,0.73,2.48,0.43,1.38,1.91,1.67,,,,,,
April,,,,,2.01,1.17,0.76,2.65,0.97,0.67,2.46,2.31,2.34,1.05,1.63,,,,,,
May,,,,,5.04,4.06,3.77,1.56,1.46,2.21,1.56,2.91,4.61,1.3,1.46,,,,,,
June,,,,,2.02,0.03,1.33,5.36,4.83,1.91,1.46,5.06,0.49,2.3,1.71,,,,,,
July,,,,,4.93,2.43,4.73,3.16,2.07,2.32,5.36,2.78,3.53,1.77,1.96,,,,,,
August,,,,,5.23,4.36,3.52,4.57,2.83,3.6,3.43,6.97,1.58,0.83,2.82,,,,,,
September,,,,,3.36,4.35,4.19,6.08,1.22,2.27,2.71,3.67,2.78,0.83,,,,,,,
October,,,,,4.06,4.7,4.15,2.42,3.86,5.11,3.7,1.4,5.75,3.64,,,,,,,
November,,,,,1.18,2.08,5.13,2.89,3.34,5.38,3.2,4.63,2.18,1,,,,,,,
December,,,,,3.33,2.23,0.78,1.34,1.65,4.28,2.9,1.23,0.94,0.34,,,,,,,
Total,,,,,35.51,32.4,35.39,37.75,31.87,31.44,33.18,36.07,28.49,18.44,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is in Barton with the stated relationship to station and church.,,,,,,,,,,,,,,,,,,,,,
Stated altitude is about 40 ft too high. NGR could be +/- 250m,,,,,,,,,,,,,,,,,,,,,
Most of the 1922 readings are copied from another locations and have been removed,,,,,,,,,,,,,,,,,,,,,
