DUNFERMLINE FORDELL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT1495485215,Long,-3.367051,Lat,56.05221,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.53,1.2,3.32,1.31,3.47,2.96,2.44,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,3.66,1.2,1.25,1.63,1.71,1.34,2.61,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.7,3.65,2.14,2.91,3.7,4.53,1.21,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,2.62,2.2,1.09,1.37,1.75,3.47,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,3.26,1.56,5.91,3.29,2.43,3.36,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.53,0.64,1.95,3.91,1.39,1.42,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.66,2.22,1.79,3.09,3.27,3.3,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,4.4,2.95,5.55,4.03,3.14,3.54,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.78,2.01,1.13,1.27,4.32,2.54,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.07,2.26,5.31,8.4,2.44,3.89,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,0.95,4.94,4.98,1.64,1.89,0.56,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,3.28,2.26,1.47,4.17,0.72,3.69,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,28.44,27.09,35.89,37.02,30.23,34.6,27.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 Gauge moved 1st April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
