"HORSFORTH LEEDS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1864,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,0.54,,
August,,,,,,,,,,1.80,,
September,,,,,,,,,,4.73,,
October,,,,,,,,,,1.98,,
November,,,,,,,,,,1.92,,
December,,,,,,,,,,4.78,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.75,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
