"THETFORD (WATERWORKS)",,,,,,,,,,,,
Grid ref,TL864846,Long,0.740157,Lat,52.427601,,,,,,,
Station no,1456,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.68,1.55,0.95,1.46,2.41,2.81,2.27,2.08,2.47,2.71,,
February,3.05,0.89,1.22,2.02,1.79,0.77,2.39,3.40,0.25,1.12,,
March,3.42,3.26,0.48,2.45,1.33,0.75,2.04,0.77,1.76,0.88,,
April,3.40,1.01,1.97,0.27,0.41,0.49,0.28,0.95,1.76,0.73,,
May,1.68,1.40,1.85,2.27,2.63,0.61,1.10,2.31,0.31,0.45,,
June,0.92,1.21,3.29,1.51,1.33,2.03,1.41,3.53,1.20,2.39,,
July,0.81,0.94,2.79,2.91,0.24,2.10,4.01,3.17,3.13,3.01,,
August,2.97,3.43,1.93,5.82,0.99,4.13,2.73,2.01,2.50,1.80,,
September,2.39,2.32,1.31,1.60,2.19,1.85,3.93,2.58,0.03,3.48,,
October,0.71,2.29,2.59,1.92,2.70,1.53,1.31,1.52,2.00,3.79,,
November,3.34,4.47,1.50,3.61,1.17,0.60,1.41,1.10,1.42,3.19,,
December,1.39,1.88,0.71,1.91,1.98,2.17,2.40,2.49,2.59,2.19,,
Total,26.76,24.65,20.59,27.75,19.17,19.84,25.28,25.91,19.42,25.74,,
Calc annual,26.76,24.65,20.59,27.75,19.17,19.84,25.28,25.91,19.42,25.74,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
