CAISTOR - HUNDON MANOR,,,,,,,,,,
Grid ref,TA116025,Long,-0.319,Lat,53.507,Elevation,180,ft,,
Station no,RR6515,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,0.97,1.68,1.88,,,,,
February,,,1.25,0.72,2.53,,,,,
March,,,1.26,2.56,2.21,,,,,
April,,,1.76,1.46,1.16,,,,,
May,,,2.76,2.54,,,,,,
June,,,2.47,2.12,,,,,,
July,,,1.86,2.51,,,,,,
August,,,2.26,5.34,,,,,,
September,,,0.55,4.07,,,,,,
October,,,2.56,5.64,,,,,,
November,,,1.52,1.73,,,,,,
December,,,2.13,0.99,,,,,,
Total,,,21.35,31.36,,,,,,
,,,,,,,,,,
TYRain_1900-1909_17_pt1/141,,,,,,,,,,
,,,,,,,,,,
# The gauge moved to Castlemount in Caistor town in May 1904.,,,,,,,,,,
