CAISTOR - CASTLEMOUNT,,,,,,,,,,
Grid ref,TA115013,Long,-0.321,Lat,53.497,Elevation,270,ft,,
Station no,RR6515,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,0.47,2.98,,,
February,,,,,,0.62,2.64,,,
March,,,,,,2.15,2.23,,,
April,,,,,,1.89,0.97,,,
May,,,,,,0.68,1.72,,,
June,,,,,0.60,2.28,1.66,,,
July,,,,,2.84,1.40,1.11,,,
August,,,,,4.64,3.13,2.04,,,
September,,,,,2.30,1.75,1.03,,,
October,,,,,0.90,2.35,4.60,,,
November,,,,,1.24,3.26,4.74,,,
December,,,,,1.67,0.46,3.37,,,
Total,,,,,,20.44,29.09,,,
,,,,,,,,,,
TYRain_1900-1909_17_pt1/141,,,,,,,,,,
,,,,,,,,,,
# The gauge came from Hundon Manor in May 1904.,,,,,,,,,,
