CAISTOR HUNDON MANOR CASTLEMOUNT,,,,,,,,,,,,
Grid ref,TA115024,Long,-0.320267,Lat,53.506476,,,,,,,
Station no,RR6515,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.97,1.68,1.88,0.47,2.98,,,,,
February,,,1.25,0.72,2.53,0.62,2.64,,,,,
March,,,1.26,2.56,2.21,2.15,2.23,,,,,
April,,,1.76,1.46,1.16,1.89,0.97,,,,,
May,,,2.76,2.54,2.01,0.68,1.72,,,,,
June,,,2.47,2.12,0.60,2.28,1.66,,,,,
July,,,1.86,2.51,2.84,1.40,1.11,,,,,
August,,,2.26,5.34,4.64,3.13,2.04,,,,,
September,,,0.55,4.07,2.30,1.75,1.03,,,,,
October,,,2.56,5.64,0.90,2.35,4.60,,,,,
November,,,1.52,1.73,1.24,3.26,4.74,,,,,
December,,,2.13,0.99,1.67,0.46,3.37,,,,,
Total,,,21.35,31.36,23.98,20.44,29.09,,,,,
Calc annual,0.00,0.00,21.35,31.36,23.98,20.44,29.09,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,,
