TAMWORTH-LICHFIELD-ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK203039,Long,-1.701497,Lat,52.632477,Elevation,200,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,1.61,1.17,3.94,2.81,1.82,3.14,2.08,3.57,2.03,2.01,0.38,0.61,2.34,,,,,,,
February,,,,,,,,,,,1.67,1.51,2.73,1.29,2.13,1.06,2.93,1.86,0.92,3.12,2.46,3.44,2.23,,,,,,,
March,,,,,,,,,,,1.49,0.91,1.77,2.58,0.86,0.63,2.6,2.22,0.99,0.84,1.08,2.42,1.69,,,,,,,
April,,,,,,,,,,,0.87,2.56,3.45,0.41,1.29,0.69,3.19,2.33,1.97,2.54,1.27,0.65,2.94,,,,,,,
May,,,,,,,,,,,0.72,2.16,1.82,2.25,1.81,1.63,0.7,2.38,4.57,2.59,1.71,1.23,3.29,,,,,,,
June,,,,,,,,,,1.22,1.14,3.05,5.56,3.37,0.76,3.39,3.44,1.24,4.33,5.19,3.71,2.22,4.96,,,,,,,
July,,,,,,,,,,0.55,1.63,3.43,3.2,2.28,1.84,8.26,1.35,4.01,1.25,3.42,4.81,1.12,3.67,,,,,,,
August,,,,,,,,,,1.19,1.66,0.68,3.68,3.1,2.36,3.04,1.97,3.52,6.03,4.45,0.97,4.76,1.89,,,,,,,
September,,,,,,,,,,4.6,0.8,5.21,2.61,2.12,3.46,3,3.97,2.24,1.62,3.15,3.82,2.01,2.79,,,,,,,
October,,,,,,,,,,0.97,4.45,1.83,4.37,1.83,2.5,6.19,1.51,2.13,3.01,0.93,5.34,3.04,6.05,,,,,,,
November,,,,,,,,,,2.04,1.85,0.85,3.38,1.71,2.67,3.58,3.48,3.34,2.63,1.16,1.7,2.46,3.99,,,,,,,
December,,,,,,,,,,3.83,2.4,1.29,3.96,0.4,2.13,1.58,4.9,1.7,2.35,0.71,3.23,2.86,4.84,,,,,,,
Total,,,,,,,,,,,20.29,24.65,40.47,24.15,23.63,36.19,32.12,30.54,31.7,30.11,30.48,26.82,40.68,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is 21 Lichfield Street where the observer, William Arnold, lived. The altitude is from the OS map; the record has an altitude of 160 but the observer says this is a guess.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
