"NOTTINGHAM (COLWICK HILL RESERVOIR)",,,,,,,,,,,,
Grid ref,SK596399,Long,-1.114334,Lat,52.953176,,,,,,,
Station no,2605,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.03,1.59,0.85,1.13,1.91,2.96,1.42,2.64,2.79,4.27,,
February,2.80,0.40,1.23,2.01,1.45,0.53,1.93,2.81,0.15,1.55,,
March,2.71,2.27,1.00,1.90,2.30,0.71,2.11,1.33,1.39,1.43,,
April,1.75,1.88,1.89,0.29,1.12,1.56,0.19,0.71,2.31,0.94,,
May,2.98,2.97,1.92,2.78,3.49,0.51,1.20,1.89,0.49,1.01,,
June,1.37,2.45,3.90,3.36,3.72,3.19,1.43,4.30,0.99,1.67,,
July,0.81,0.31,2.05,1.90,1.45,2.96,2.28,4.01,1.54,3.18,,
August,5.29,1.93,1.73,4.32,0.30,5.30,3.16,1.81,0.42,3.54,,
September,1.17,0.81,1.33,2.29,0.50,1.82,5.18,2.13,0.26,3.82,,
October,0.89,2.51,2.23,3.15,1.38,1.19,1.23,2.11,1.98,5.78,,
November,4.93,1.71,1.62,4.28,1.00,0.62,1.69,1.27,2.02,2.77,,
December,1.71,2.16,0.88,2.23,1.64,1.69,1.95,2.83,2.90,3.01,,
Total,28.44,20.99,20.63,29.64,20.26,23.04,23.77,27.84,17.24,32.97,,
Calc annual,28.44,20.99,20.63,29.64,20.26,23.04,23.77,27.84,17.24,32.97,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
