GREAT-BARFORD-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL137532,Long,-0.339062,Lat,52.165366,Elevation,126,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,2.25,1.76,0.83,3.25,0.99,0.83,0.69,1.35,0.8,3.58,2.7,1.08,2.41,1.21,1.45,1.92,3.33,2.04,2.17,2.08,1.42,2.1,0.78,1.86,1.87,3.03,1.27,2.05,1.32,0.8,1.24,0.73,0.98,3.26,2.82,2.17,3.82,1.71,2.23,2.67,3.12,1.34,1.43,1.14,1.5,3.58,0.95,0.77,2.01,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,0.54,2.62,0.75,1.36,0.78,1.19,0.34,2.07,0.99,1.17,0.56,1.49,1.98,2.84,0.75,0.78,2.16,0.29,0.41,1.63,2.84,0.48,2.19,2.64,2.68,1.17,0.78,0.42,1.86,0.22,0.97,0.39,2.24,1.75,3.11,0.32,0.53,1.53,1.65,0.39,0.66,1.23,1.21,1.89,1.58,0.6,0.88,3.46,2.9,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,2.33,1.18,2.08,1.91,0.84,2.55,3,0.65,1.6,2.15,2.13,3.06,1.49,4.73,1.2,0.71,3.24,1.44,0.68,1.09,1.81,0.5,1.01,0.25,1.79,1.19,0.05,1.43,0.13,1.66,2.02,1.65,0.59,1.57,2.78,0.25,1.74,2.38,2.86,1.15,0.79,0.14,0.54,1.24,5.1,0.83,1.15,0.44,3.03,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.01,0.89,1.49,0.75,2.06,2.79,1.83,2.31,1.04,0.15,2.16,0.51,0.75,1.12,1.33,3.05,2.18,3.2,1.03,2.61,1.84,2.17,1.45,3.42,1.7,1.06,1.33,1.35,2.73,2.3,0.88,1.28,2.92,1.13,2.41,0.11,2.42,1.35,0.96,0.5,0.67,2.3,0.39,1.01,1.8,1.8,1.13,1.63,2.73,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,3.15,1.6,1.21,1.22,3.65,1.25,1.11,2.17,0.98,1.73,2.14,0.83,1.65,2.03,1.84,2.15,0.86,1.48,0.91,1.65,1.21,3.83,2.15,2.09,0.57,1.43,1.54,2.93,2.58,4.08,1.76,0.71,0.74,0.77,4.14,1.99,0.81,0.67,1.57,2.44,1.77,1.01,2.15,2.19,0.59,3.5,2.34,3.49,1.72,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,4.8,0.36,4.13,3.24,1.64,1.02,3.66,1.17,2.39,3.29,0.55,2.33,1.23,1.88,3.03,0.5,0.95,1.65,0.95,1.18,0.48,1.56,0.09,2.11,2.21,2.42,0.99,0.57,1.22,0.56,2.88,1.03,2.49,4.32,1.19,0.92,1.98,0.78,1.03,0.68,2.24,1.44,1.75,2.33,1.67,3.31,0.6,0.89,1.33,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,3.48,2.52,0.68,0.9,2.25,2.68,2.9,1.94,0.4,3.05,1.64,1.46,4.68,2.06,2.97,3.24,2.34,3.16,0.1,3.81,2.86,3.14,2.47,2.13,1.95,1.65,1.41,2.78,3.62,2.36,0.87,1.46,0.33,5.45,1.65,1.37,2.03,3.03,2.77,2.63,0.68,1.36,1.35,1.48,1.76,0.77,1.17,4.78,0.94,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,2.85,1.55,3.33,1.4,1.97,2.38,2.14,1.71,1.19,6.81,1.06,1.06,2.03,2.7,4.21,0.83,2.12,0.87,1.37,2.62,2.5,1.83,3.01,0.65,3.17,1.68,0.62,2.91,2.88,4.34,1.13,2.02,2.11,0.52,2.67,2.94,4.1,0.11,3.92,1.87,1.48,1.95,1.65,2.97,0.02,3.49,0.74,2.17,4.14,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,2.08,1.61,1.43,0.78,0.71,1.1,2,0.63,1.3,1.42,1.51,0.91,1.32,0.69,1.95,5.77,2.01,2.1,1.34,2.15,2.75,2.64,2.97,2.12,4.17,0.44,0.23,3.15,2.07,1.77,2.17,1.78,4.31,2.99,2.54,1.89,0.61,0.55,0.55,0.98,1.27,2.15,2.12,2.95,0.98,1.97,0.3,2.58,1.44,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,4.81,1.07,1.28,2.9,3.19,1.63,3.47,2.13,1.34,2.11,2.65,3.16,0.95,2.06,3.68,1.18,0.73,0.94,1.08,0.51,3.49,3.62,2.84,1.92,1.35,2.25,2.85,1.01,0.49,2.88,1.05,1.57,2.29,1.29,2.26,2.76,3.31,1.84,2.03,2.28,1.61,2.69,2.77,1.44,0.28,2.08,4.08,0.5,0.87,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
