"LEICESTER (AINSDALE ROAD)",,,,,,,,,,,,
Grid ref,SK564040,Long,-1.168135,Lat,52.630833,,,,,,,
Station no,2502/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.45,1.94,0.88,1.21,2.08,3.73,1.21,2.58,3.16,4.73,,
February,2.79,0.65,1.45,2.19,1.99,0.68,3.40,3.55,0.04,1.72,,
March,3.35,2.73,1.70,1.98,2.86,1.07,2.26,1.85,2.07,1.46,,
April,2.47,1.93,2.04,0.56,1.04,1.03,0.23,0.69,2.26,0.99,,
May,3.13,2.49,1.76,2.37,3.88,0.81,1.35,1.71,0.52,1.12,,
June,1.43,1.86,2.58,2.87,3.06,2.92,1.34,3.66,0.93,3.18,,
July,1.31,0.43,2.24,2.15,0.96,5.38,3.52,2.99,1.85,3.23,,
August,3.99,2.84,2.15,3.86,0.27,4.24,2.53,2.12,0.89,3.35,,
September,1.28,1.39,1.21,1.72,1.23,1.47,4.72,2.35,0.16,3.64,,
October,0.76,2.69,2.33,3.07,1.54,1.48,1.12,1.94,2.02,3.86,,
November,4.34,2.06,1.29,4.75,1.22,0.78,1.57,1.84,2.38,3.10,,
December,1.71,2.53,0.89,2.46,1.61,2.75,2.23,2.65,3.18,3.74,,
Total,29.01,23.54,20.52,29.19,21.74,26.34,25.48,27.93,19.46,34.12,,
Calc annual,29.01,23.54,20.52,29.19,21.74,26.34,25.48,27.93,19.46,34.12,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
