"BURNLEY GAWTHORPE HALL",,,,,,,,,,,,
Grid ref,SD806340,Long,-2.296036,Lat,53.801934,,,,,,,
Station no,2970,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.61,2.94,3.96,4.57,3.98,2.01,5.80,2.61,4.08,2.66,,
February,4.56,2.00,1.23,4.84,3.82,2.86,3.65,2.99,3.33,3.46,,
March,0.47,4.03,3.96,6.24,2.30,3.26,3.51,4.16,3.79,2.67,,
April,2.46,2.94,2.46,2.41,2.82,3.30,1.55,2.15,2.40,3.86,,
May,1.88,1.03,3.16,2.50,2.82,0.64,4.20,3.78,2.98,1.98,,
June,2.93,1.55,1.09,2.17,1.19,2.37,2.33,6.50,1.74,2.49,,
July,3.15,1.46,3.74,3.98,1.30,2.47,3.01,2.84,4.70,6.13,,
August,6.11,2.50,3.58,5.63,5.31,4.14,3.57,4.67,4.50,3.37,,
September,1.76,1.18,1.15,5.22,1.27,2.83,1.59,0.95,3.37,2.74,,
October,6.07,3.85,4.00,10.92,2.11,3.85,6.76,4.22,1.52,5.08,,
November,4.54,6.93,2.03,3.22,4.10,4.38,5.15,2.26,3.63,2.03,,
December,4.84,6.00,4.02,2.60,3.59,1.27,4.63,4.55,2.96,5.94,,
Total,44.38,36.41,34.38,54.30,34.61,33.38,45.75,41.68,39.00,42.41,,
Calc annual,44.38,36.41,34.38,54.30,34.61,33.38,45.75,41.68,39.00,42.41,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
