"BURNLEY, PADIHAM,  GAWTHORPE HALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD806340,Long,-2.296036,Lat,53.801934,Elevation,316,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.12,0.09,0.15,3.43,5.22,6.46,2,5.45,3.11,2.31,1.48,5.31,3.46,,1.26,4.44,2.69,1.93,1.07,4.07,6.54,5.61,2.94,3.96,4.57,3.98,2.01,5.8,2.61,4.08,2.66,5.59,2.68,4.19,4.87,3.82,6.92,4.44,2.77,3.31,4.95,4.81,7.5,3.98,4.96,2.24,3.49,5.22,4.56,11.03,2.09,6.61,,,3.33,3.6,1.9,4.71,3.89,4.86,4.89,
February,,,,,,,,,,2.62,3.67,6,2.79,3.93,4.32,3.1,0.18,1.73,0.89,3.14,0.57,0.33,,5.29,5.66,0.25,2.18,2.7,3.94,2.02,4.56,2,1.23,4.84,3.82,2.86,3.65,2.99,3.33,3.46,5.35,5.16,1.82,1.92,3.42,5.99,4.55,1.11,5.83,1.27,3.99,0.43,4.59,7.63,0.88,6.83,3.6,1.79,5.75,0.81,0.46,,,3.75,0.57,5.22,2.63,4.76,1.53,3.9,
March,,,,,,,,,,1.89,2.83,4.62,2.02,1.32,2.76,1.79,1.79,2.32,3.25,2.83,3.8,2.94,,2.01,3.6,2.92,6.51,4.74,2.21,2.89,0.47,4.03,3.96,6.24,2.3,3.26,3.51,4.16,3.79,2.67,1.34,2.09,6.08,6.52,5.73,2.04,2.28,3.1,1.54,6.03,4.36,3.81,2.43,1.53,1.15,1.83,2.63,3.84,3.08,1.2,2.54,,2.48,2.12,2.61,1.39,1.94,1.92,1.56,2.2,
April,,,,,,,,,,1.59,1.86,1.31,4.65,2.12,1.7,2.27,2.19,2.18,1.75,2.02,1.12,2.54,,0.57,1.83,2.68,2.31,2.67,2.52,3.55,2.46,2.94,2.46,2.41,2.82,3.3,1.55,2.15,2.4,3.86,4.08,2.7,1.33,5.49,1.51,2.83,3.57,2.29,1.04,2.89,4.63,1.8,3.29,4.05,1.75,2.59,1.98,3.22,1.29,1.29,2.57,,3.45,1.61,2.97,2.6,0.88,2.77,0.77,1.55,
May,,,,,,,,,,1.68,2.63,3.44,0,0.73,2.35,1.92,3.76,1.97,1.13,3.06,2.16,2.99,,2.74,2.17,1.58,0.57,2.11,3.01,2.82,1.88,1.03,3.16,2.5,2.82,0.64,4.2,3.78,2.98,1.98,3.67,3.81,2.49,3.95,2.25,1.63,2.78,1.78,1.72,1.78,5.56,2.34,1.85,4.23,5.25,3.93,3.5,1.84,1.18,2.58,3.14,,3.45,2.48,2.98,1.23,1.18,1.82,3.61,1.21,
June,,,,,,,,,,6.14,3.79,0.51,2.36,4.19,0.78,3.22,1.96,0.54,2.11,1.29,2.73,1.42,,3.2,3.15,2.69,2.82,3.7,3.48,1.43,2.93,1.55,1.09,2.17,1.19,2.37,2.33,6.5,1.74,2.49,3.57,5.02,6.61,2.38,2.39,1.1,2.81,2.84,2.4,1.42,2.23,0.6,2.84,1.26,3.14,0.12,2.58,5.07,5.81,1.51,3.18,,0.94,1.84,2.09,3.76,4.23,2.42,3.78,3.18,
July,,,,,,,,,,5.56,4.13,4.59,5.12,3.51,4.58,1.26,3.55,2.42,6.34,3.2,3.86,3.21,,3.49,4.87,6.85,2.06,2.03,0.92,2.34,3.15,1.46,3.74,3.98,1.3,2.47,3.01,2.84,4.7,6.13,4.21,0.75,5.17,1.35,5.28,5.52,2.65,2.45,4.82,2.34,5.67,1.9,5.04,5.01,3.42,1.84,3.12,3.59,2.06,2.91,5.27,,4.45,2.31,2.59,1.58,3.72,1.83,3.85,5.89,
August,,,,,,,,,,6.34,1.87,5.67,3.7,2.69,1.64,0.9,2.02,1.72,3.77,6.06,6.27,8.39,,3.42,5.69,4.28,2.78,7.02,4.76,2.14,6.11,2.5,3.58,5.63,5.31,4.14,3.57,4.67,4.5,3.37,6.82,2.97,7.02,2.85,2.58,5.42,4.61,5.79,3.54,4.09,2.03,5.55,6.08,5.89,4.97,3.25,4.71,5.96,7.5,4,6.9,,1.61,2.39,4.17,1.08,2.65,2.27,4.88,1.88,
September,,,,,,,,,,2.8,3.87,1.74,1.97,6.13,3.43,4.93,3.5,6.74,1.59,3.84,3.94,4.38,,4.42,0.33,1.66,6.7,4.42,1.48,7.71,1.76,1.18,1.15,5.22,1.27,2.83,1.59,0.95,3.37,2.74,0.65,4.19,2.27,1.54,3.36,1.19,2.75,2.43,11.73,2.42,2.63,1.89,3.55,5.03,4.43,3.75,3.88,7.14,1.2,2.27,4.15,,6.34,1.84,3.01,7.09,4.18,1.63,1.82,0.88,
October,,,,,,,,,,2.34,3.62,3.18,2.76,5.52,3.8,4.55,5.04,2.09,1.8,3.88,3.31,6.48,,5.38,4.15,4.71,4.55,2.45,3.6,2.88,6.07,3.85,4,10.92,2.11,3.85,6.76,4.22,1.52,5.08,3.86,3.44,4.38,1.91,2.41,1.44,9.41,8.14,3.99,2.44,1.61,3.27,1.01,5.44,2.94,4.81,3.54,3.9,5.75,6.47,6.34,,6.39,4.48,4.94,8.8,4.51,1.9,8.38,1.69,
