"ARBROATH, ST VIGEANS",,,,,,,,,,,,,,,,,,,,
Grid ref,NO 638 429,Long,-2.589969,Lat,56.576733,Elevation,55,ft,,,,,,,,,,,,
Station no,RR1790,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,1.6,2.42,3.02,2.25,2.03,1.33,2.77,1.11,3.9,3.94,2.67,3.23,1.32,2.31,1.97,,
February,,,,2.71,1.4,1.64,0.79,0.34,4.97,1.14,1.79,0.7,1.28,2.77,1.16,1.48,3.21,1.12,,
March,,,,1.22,1.01,1,0.98,0.5,2.31,0.77,0.34,3.26,0.6,1,0.27,3.07,0.05,2.49,,
April,,,,4.4,0.32,1.74,1.76,1.12,2.16,2.01,1.52,2.25,0.2,1.05,0.3,0.59,1.88,2.95,,
May,,,,2.23,0.78,1.02,1.62,4.93,0.7,1.83,1.7,0.41,1.05,1,2.53,1.63,3.09,1.34,,
June,,,,1.73,3.61,2.81,1.46,2.05,5.45,1.79,1.04,2.24,2.92,1.78,2.42,1.19,2.81,1.83,,
July,,,,4.82,2.5,3.2,3.28,2.95,2.92,3.9,1.5,2.72,1.36,2.49,1.29,1.63,4.46,0.43,,
August,,,,1.4,2.54,2.31,2.34,0.99,1.8,1.89,2.78,2.35,1.6,3.86,0.98,1.85,2.78,1.63,,
September,,,,0.52,2.3,2.21,2.95,0.71,0.83,1.14,1.84,1.04,1.31,2.27,1.07,0.52,4.42,1.86,,
October,,,,3.37,0.69,4.64,7.51,2.77,4.73,0.95,1.56,0.65,2.72,5.44,1.14,1.51,1.99,1.1,,
November,,,,2.58,4.34,2.15,2.82,1.91,2.28,1.98,1.78,1.06,4.77,2.45,3.38,1.16,2.76,2.12,,
December,,,,0.51,1.42,1.3,1.12,4.67,1.97,2.83,0.55,0.4,3.59,2.05,0.89,1.6,0.81,0.73,,
Total,,,,27.09,23.33,27.04,28.88,24.97,31.45,23,17.51,20.98,25.34,28.83,18.66,17.55,30.57,19.57,,
