LICHFIELD-ST-JOHN-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK117092,Long,-1.8283771,Lat,52.680374,Elevation,269,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,1.1,3.51,1.08,0.75,1.17,1.96,0.72,4.45,4.3,1.1,3.1,1.04,2.15,1.94,2.5,2.71,2.01,3.25,1.45,2.54,1.65,2.43,2.76,4.33,1.49,4.57,1.4,1.95,1.77,,,,,,,
February,,,,,,0.74,2.16,1.35,1.34,0.5,3.1,1.88,1.42,0.83,1.76,2.77,4.17,1.06,1.31,2.4,1.49,0.23,2.31,4.71,0.64,2.53,2.14,1.87,2.26,0.42,0.6,2.23,0.16,4.29,,,,,,,
March,,,,,,2.74,1.42,1.24,2.79,3.35,0.46,1.47,4.06,5.15,2.52,0.93,4.03,1.48,1.17,4.63,2.01,1.1,2.21,1.32,0.97,1.17,0.85,1.97,1.25,0.27,2.8,0.11,1.64,,,,,,,,
April,,,,,,2.03,1.11,1.56,2.87,1.65,2.13,0.9,0.22,3.24,0.94,0.87,1.47,1.06,1.69,1.66,4.34,1.46,2.52,2.38,2.61,2.06,2.04,1.7,1.18,0.62,2.42,3.29,2.48,,,,,,,,
May,,,,,,0.3,2.47,3.7,3.02,1.37,2.06,0.59,3.16,1.97,1.5,2.63,2.56,3.19,1.96,1.03,1.81,1.25,1.37,2.11,3.87,3.66,3.01,1.56,0.18,1.72,2.18,3.43,6.47,,,,,,,,
June,,,,,,3.04,2.01,2.16,1.94,4.23,0.93,2.38,4.44,0.89,2.2,0.79,1.73,2.4,0.62,1.43,3.02,0.37,0.9,0.51,1.93,0.09,1.27,4.24,2.33,1.34,2,3.25,1.13,,,,,,,,
July,,,,,,2.88,1.89,3.2,2.3,2.87,3,0.18,2.98,1.1,3.48,6.46,1.46,1.77,3.07,2.52,3.31,0.4,4.61,5.58,2.33,2.08,3.02,2.81,1.07,1.51,5.01,3.13,4.19,,,,,,,,
August,,,,,,4.24,1.09,2.7,3.33,2.1,4.21,1.47,6.73,1.2,1.82,2.51,2.16,5.81,1.57,2.44,1,4.04,5.88,2.3,3.03,4.07,1.97,4.1,3.56,2.38,2.66,5.23,1.86,,,,,,,,
September,,,,,,1.58,1.52,0.81,2.03,1.74,0.44,1.17,0.81,1.86,1.28,0.67,1.07,1.71,5.41,1.96,2.27,1.08,2.27,2.89,2.98,3.4,0.8,3.63,0.5,0.57,3.78,2.73,2.74,,,,,,,,
October,,,,,,1.35,4.29,4.2,1.8,3.65,2.7,2.44,2.58,3.88,1.72,1.76,3.46,3.18,1.06,2.98,2.12,2.31,0.31,3.39,3.29,3.26,2.32,1.45,4.13,3.26,2.22,0.87,4.36,,,,,,,,
November,,,,,,2.29,2.67,2.23,1.93,0.77,5.1,2.32,2.19,2.09,2.96,2.49,2.85,1.26,1.73,1.91,0.77,1.48,0.91,1.82,1.84,1.74,4.51,3.58,3.2,5.59,3.28,2.98,2.1,,,,,,,,
December,,,,,,0.75,2.36,2.98,2.51,4.62,4.57,4.67,3.48,1.19,6.42,4.81,2.72,1.51,3.37,3.78,2.4,1.82,3.78,3.29,2.43,2.27,0.54,2.44,1.88,4.69,2.64,0.75,0.82,,,,,,,,
Total,,,,,,23.04,26.5,27.21,26.61,28.02,30.66,20.19,36.52,27.7,27.7,29.79,28.72,26.58,24.9,29.24,27.25,17.55,30.32,31.75,28.46,27.98,24.9,32.11,25.87,23.86,34.16,29.4,29.9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is on St John Street at the stated altitude. Gauge moved 0.75 miles SE to Kingsborrow on March 1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
