LICHFIELD-KINGSBORROW,,,,,,,,,,
Grid ref,SK122084,Long,-1.8210108,Lat,52.673171,Elevation,285,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.78,,,,,,
February,,,,0.32,,,,,,
March,,,,2.03,,,,,,
April,,,0.68,1.84,,,,,,
May,,,1.71,0.96,,,,,,
June,,,3.45,0.89,,,,,,
July,,,2.3,0.83,,,,,,
August,,,0.82,2.26,,,,,,
September,,,1.19,1.56,,,,,,
October,,,3.41,1.72,,,,,,
November,,,1.47,,,,,,,
December,,,0.57,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
NGR is Kingsborrow. Altitudes match.,,,,,,,,,,
