"BISHOPS CASTLE MORE RECTORY",,,,,,,,,,,,
Grid ref,SO342915,Long,-2.971110,Lat,52.517393,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.34,2.51,0.64,4.05,1.44,1.03,1.21,,
February,,,,1.88,4.27,0.95,2.10,1.49,1.24,0.91,,
March,,,,4.26,1.39,3.77,1.27,0.87,3.93,3.00,,
April,,,,1.65,1.17,1.75,0.86,2.79,3.09,2.23,,
May,,,,3.76,2.52,1.43,1.88,2.66,2.13,0.86,,
June,,,2.89,2.68,1.18,2.06,0.91,3.76,,3.70,,
July,,,1.38,3.10,1.48,2.02,2.11,0.94,5.17,2.38,,
August,,,,3.92,4.26,4.31,2.52,5.01,3.54,1.52,,
September,,,3.59,3.87,1.42,1.17,0.58,0.64,1.98,2.68,,
October,,,2.07,6.70,0.92,2.00,4.77,6.92,1.91,3.63,,
November,,,2.40,2.19,1.21,2.87,4.00,2.70,1.87,0.67,,
December,,,1.56,2.42,2.56,0.49,2.29,3.17,2.33,3.74,,
Total,,,,38.77,24.89,23.46,27.34,32.39,28.22,26.53,,
Calc annual,0.00,0.00,13.89,38.77,24.89,23.46,27.34,32.39,28.22,26.53,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
