BROUGHTON MOOR MARYPORT (COCKERMOUTH),,,,,,,,,,,,,,,,,,,,
Grid ref,NY053334,Long,-3.4695,Lat,54.6872,Elevation,410,ft,,,,,,,,,,,,
Station no,RR1342,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,,,3.56,4.94,,,,,,,,
February,,,,,,,,,,,3.96,4.21,,,,,,,,
March,,,,,,,,,,,0.59,3.17,,,,,,,,
April,,,,,,,,,,,2.07,1.31,,,,,,,,
May,,,,,,,,,,,1.5,1.06,,,,,,,,
June,,,,,,,,,,,2.4,2.62,,,,,,,,
July,,,,,,,,,,,4.53,2.82,,,,,,,,
August,,,,,,,,,,,3.63,3.41,,,,,,,,
September,,,,,,,,,,,2.03,1.49,,,,,,,,
October,,,,,,,,,,,2.83,4.22,,,,,,,,
November,,,,,,,,,,,4.75,1.19,,,,,,,,
December,,,,,,,,,,,2.5,1.74,,,,,,,,
Total,,,,,,,,,,31.82,34.35,32.18,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
July 1851 = 2.82,,,,,,,,,,,,,,,,,,,,
NGR at cross roads in centre of hamlet,,,,,,,,,,,,,,,,,,,,
