"UPPER MEIG (GLEANN FHIODHAIG)",,,,,,,,,,,,
Grid ref,NH177490,Long,-5.043543,Lat,57.494432,,,,,,,
Station no,5770/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.80,4.55,7.00,6.91,2.40,5.59,12.58,,5.18,6.10,,
February,4.20,3.20,5.20,3.26,3.79,5.00,5.05,,4.33,6.38,,
March,3.20,3.40,3.60,4.47,2.54,3.52,4.60,,3.93,0.90,,
April,6.30,3.10,5.20,3.32,1.83,3.19,2.54,,6.79,6.50,,
May,0.95,3.20,4.10,5.30,2.82,4.03,1.79,,2.71,1.56,,
June,1.25,4.15,2.20,2.91,1.90,2.14,3.13,,3.90,4.64,,
July,3.30,5.05,4.95,4.87,0.57,5.70,5.28,,7.40,7.31,,
August,6.35,5.85,4.65,3.84,1.11,5.62,8.00,,5.14,6.44,,
September,4.00,6.85,4.80,9.81,7.12,4.39,6.00,,2.31,2.51,,
October,3.10,9.25,2.44,10.88,6.47,6.60,9.76,,8.10,3.67,,
November,7.50,5.50,11.32,7.98,3.00,8.52,3.93,,7.55,4.52,,
December,14.10,7.05,6.99,14.78,10.74,11.20,12.36,,10.30,11.50,,
Total,60.05,61.15,62.45,78.33,44.29,65.50,75.02,,67.64,62.03,,
Calc annual,60.05,61.15,62.45,78.33,44.29,65.50,75.02,0.00,67.64,62.03,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,0.00,0.00,,
