KIRKBY STEPHEN EDEN PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY776096,Long,-2.3464,Lat,54.4819,Elevation,544,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.03,8.04,3.55,5.9,4.07,5.15,2.13,5.5,4.73,6.67,7.59,1.43,1.05,2.39,4.95,3.65,2.59,4.48,5.57,8.53,2.35,3.27,3.77,3.35,1.06,3.73,3.07,3.29,4.85,4.32,3.05,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.58,0.5,2.92,0.41,4.32,0.23,7.3,2.78,5.55,1.76,4.16,1.52,5.14,1.7,2.49,1.33,3.78,2.99,1.75,3.44,3.16,6.09,5.26,0.36,1.63,2.66,3.18,0.75,2.68,5.35,0.67,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.32,3.19,0.86,2.68,2.12,3.07,1.32,2,3.01,2.41,3.32,3.55,2.53,2.56,1.72,0.36,2.08,1.64,5.61,3.48,1.01,1.92,2.95,1.94,0.6,2.44,1.47,1.53,2.46,1.05,1.77,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.3,2.3,2.76,4.14,1.2,3.17,2.25,0.77,3.01,0.46,1.16,1.96,1.53,2.34,3.08,1.54,1.71,1.38,5.95,2.76,4.48,2.6,2.77,2.81,2.78,0.61,1.05,0.83,0.39,1.21,2.88,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.85,1.26,2.56,3.36,2.88,3.33,0.67,0.9,2.88,2.83,0.76,1.88,1.25,2.48,3.92,1.31,2.53,2.34,2.75,1.16,2.1,1.86,2.28,2.16,1.49,4.03,2.84,1.64,2.4,4.59,0.79,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,2.21,2.51,4.95,1.94,1.93,2.18,3.95,2.57,1.75,4.28,3.57,1.16,0.62,0.79,3.35,1.84,3.17,3.27,3.01,5.49,0.84,1.71,1.05,2,2.02,2.56,1.68,3.61,1.34,2.63,2.68,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.6,6.14,3.53,4.17,2.45,2.31,1.02,3.65,2.03,4.44,4.89,5.24,1.01,2.55,2.78,3.53,1.7,5.34,4.2,2.23,2.02,3.77,1.79,1.44,4.12,3.01,1.38,2.46,5.17,3.68,2.16,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,4.01,6.39,3.09,1.04,1.39,3.3,1.62,2.45,1.77,3.52,2.4,1.6,3.46,2.97,5.74,2.25,2.02,4,0.06,5.82,2.9,6.66,5.05,3.15,3.94,4.58,1.46,9.22,4.9,4.81,0.55,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.21,2.39,1.41,3.2,1.42,3.79,8.36,5.88,3.39,1.66,1.05,3.03,0.44,2.49,2.93,5.24,2.46,5.41,3.9,4.87,2.31,7.59,2.58,3.1,3.77,6.8,2.28,2.91,4.1,4.57,1.15,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,5.13,5.63,2.26,5.96,5.36,6.63,6.48,3.98,2.04,9.38,2.4,4.68,4.5,3.3,3.45,3.28,5.26,0.61,0.66,3.25,5.29,3.25,0.95,4.62,1.93,9.63,2.67,3.4,4.24,3.69,3.68,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,7.9,4.91,6.29,2.3,3.24,1.09,4.7,5.09,0.87,6.78,6.68,5.1,2.26,0.99,2.24,5.56,0.16,5.37,5.11,2.91,4.76,4.65,7.34,2.11,3.62,7.55,2.51,1.15,1.66,0.71,4.98,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,10.78,4.17,2.69,3.59,0.71,5.53,1.85,7.68,2.02,5.45,1.98,4.34,1.87,3.43,1.95,3.91,1.34,4.25,2.2,4.73,6.05,2.01,8.99,3.44,1.84,4.9,5.54,4.18,4.04,2.73,7.13,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,40.92,47.43,36.87,38.69,31.09,39.78,41.65,43.25,33.05,49.64,39.96,35.49,25.66,27.99,38.6,33.8,28.8,41.08,40.77,48.67,37.27,45.38,44.78,30.48,28.8,52.5,29.13,34.97,38.23,39.34,31.49,39.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR Total 1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
