KIRKBY STEPHEN REDMAN HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY774088,Long,-2.350252,Lat,54.474052,Elevation,574,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.42,5.19,3.84,5.52,5.97,4.09,2.34,7.1,9.08,5.63,6.41,2.35,7.98,3.68,1.02,0.65,0.47,3.33,7.23,6.39,2.59,6.02,3.35,2.01,1.53,7.93,2.89,2.86,2.8,7.03,3.58,2.11,1.62,3.19,8.82,3.97,2.34,2.48,7.43,6.95,1.52,5.6,1.69,3.96,3.59,6.69,2.34,3.85,4.79,4.19,4.21,6.02,2.36,5.16,5.44,6.43,8.94,3.62,4.15,4.38,6.6,6.63,4.98,10.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,3.1,4.1,1.86,3.37,5.39,3,3.26,4.97,0.64,2.85,0.91,4.71,3.06,2.31,2.48,4.66,2.54,4.58,5.47,4.47,6,0.94,2.24,1.52,1.59,0.9,0.15,2.4,7.31,10.38,0.8,2.37,3.9,4,4.15,4.61,1.58,0.75,7.52,3.23,2.32,2.97,3.13,4.14,1.8,7.55,6.41,4.5,3.01,7.39,8.48,5.56,0.84,5.63,1.15,3.5,0.14,4.22,6.42,0.8,7.71,3.27,1.81,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.83,2.12,3,4.22,0.68,1.65,2.34,3.92,2.29,3.98,1.16,4.68,3.03,2.2,2.64,1.62,4.12,3.32,2.44,3.38,2.44,4.09,1.57,4.18,1.51,3.02,1.79,0.66,1.66,4.95,5.45,5.88,7.34,1.63,2.66,0.61,4.16,2.12,7.69,2.91,3.78,2.68,3.67,4.91,3.28,2.43,1.83,5.53,6.83,3.83,1.29,3.78,3.74,1.52,4.74,6.1,4.8,3.6,1.94,1.41,1.76,1.78,3.46,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.29,1.77,3.7,2.51,2.2,1.18,2.68,3.21,0.69,3.13,1.29,1.95,2.12,2.16,1.47,2.27,0.76,3.45,1.6,1.48,1.9,3.55,2.13,2,2.35,1.39,1.22,1.77,0.68,2.74,1.98,2.02,3.11,3.54,2.88,2.92,2.21,1.99,1.26,3.98,3.5,1.47,2.25,2.31,3.04,2.22,2.91,0.34,6.37,1.57,2.15,2.33,3.18,1.65,2.35,4.77,0.78,2.95,3.56,1.77,4.86,2.45,2.91,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,5.48,1.08,2.84,1.67,2.2,2.24,1,2.46,1.54,2.07,1.73,1.1,2.38,4.83,1.28,1.66,2.87,1.68,1.42,2.77,2.5,4.64,1.87,2.49,2.27,2.37,2.23,5.45,1.8,3.66,0.7,0.65,1.8,2.7,3.01,2.46,1.04,2.27,2.3,4.02,0.95,5.23,4.35,3.38,1.26,2.77,1.57,1.71,1.34,2.7,1.7,3.49,2.09,1.76,1.55,6.18,2.9,1.43,4.07,6.56,5.4,1.82,2.68,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.56,3.45,1.76,0.58,1,1.52,3.57,5.05,1.59,1.14,3.04,3.18,2.73,3.55,4.38,2.13,3.82,5.61,6.19,0.81,1.24,1.32,0.2,1.47,1.06,3.09,2,4.81,1.79,2.93,3.2,4.02,2.9,2.93,1.57,3.5,1.75,1.38,1.05,1.64,1.68,1.67,5.21,2.07,2.66,1.94,2.66,5.86,2.79,3.16,0.3,2.14,1.95,1.14,0.93,1.02,0.28,1.83,1.6,2.04,0.15,2.95,2.66,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.35,3.78,3.95,0.52,1.26,2.46,6.5,3.97,3.39,1.55,3.14,2.41,3.2,0.77,4.16,4.9,5.94,6.01,3.3,4.44,1.24,6.42,1.85,4.36,3.14,2.25,4.91,2.56,4.98,4.28,7.88,3.17,1.86,1.21,4.47,2.32,0.58,3.36,3.39,1.31,1,2.04,2.34,3.44,4.08,4.22,0.95,5.75,1.29,2.7,4.31,4.24,1.85,6.35,1.61,4.87,2.22,5.06,3.16,3.51,3.2,3.97,5.14,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,4.4,4.76,2.46,3,2.13,1.81,2.56,4.76,3.24,4.83,2.92,3.04,6.22,4.93,5.27,1.67,5.02,2.83,2.81,1.26,2.54,1.94,1.93,2.96,4.79,4.89,10.02,7.77,4.56,4.33,5.19,2.19,5.81,5.13,1.22,4.08,1.95,3.34,4.42,4.12,4.13,4.89,2.92,4.82,2.77,6.27,3.38,4.94,1.42,2.37,3.48,3.01,9.05,3.99,3.49,2.59,6,2.83,7.82,2.38,5.85,4.01,7.5,10.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1,7.64,1.5,3.95,7.52,2.33,3.64,4.92,2.23,5.54,5.26,4.56,3.13,3.66,2.58,4.7,2.63,2.08,4.06,3.39,4.64,5.36,4.26,1.29,1.24,3.06,5.54,8.47,4.1,1,1.62,5.08,4.64,0.63,5.51,2.43,1.74,2.63,4.43,1.31,3.27,1.05,0.55,5.15,2.3,0.38,2.61,2.88,3.69,2.69,1.2,2.19,3.17,9.4,2.78,2.33,1.74,3.74,3.63,5.73,3.51,5.02,6.2,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.66,2.15,3.11,3.53,2.18,7.36,4.3,7.23,3.77,8.71,3.42,2.93,6.28,5.23,1.55,3.27,3.07,3.59,5.66,2.1,4.45,6.42,1.44,4.34,5.31,1.92,6.08,7.6,3.33,7,3.81,3.96,2.88,5.68,3.14,7.77,2.81,3.59,9.65,1.56,2.63,6.02,4.85,1.82,6.58,2.39,4.38,4.16,2.24,1.27,0.54,9.04,6.01,5.67,1.7,1.63,3.08,1.89,8.71,5,5.18,3.49,5.01,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
