JOHNSTONE (BROOKFIELD),,,,,,,,,,,,,,,,,,,,
Grid ref,NS4127864399,Long,-4.5367,Lat,55.8466,Elevation,100,ft,,,,,,,,,,,,
Station no,5291/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,4.86,9.17,4.9,7.62,2.63,5.29,5.83,8.6,5.04,3.8,1.5,6.32,6.9,7,3.74,8.84,6.49,,,
February,5.01,0,5.57,0.59,6.45,2.78,6.33,3.45,8.54,3.15,4.86,2.4,7.91,2.83,9.04,4.09,1.49,,,
March,1.41,2.01,3.99,3.14,1.91,3.61,1.5,4.59,3.8,4.52,3.19,2.88,2.78,0.94,4.15,3.57,4.17,,,
April,2.2,4.64,2.64,3.82,3.38,1.15,2.16,0.83,2.9,3.67,1.59,2.26,3.9,3.42,2.93,1.91,7.77,,,
May,4.75,3.45,2.98,2.48,0.62,1.54,1.79,3.69,1.51,1.07,3.18,3.02,2.72,4.57,6.18,1.98,5.22,,,
June,5.33,0.98,2.37,2.71,4.66,1.63,2.98,7.05,2.34,0.96,0.73,2.17,4.14,3.66,3.97,3.21,4.04,,,
July,5.55,3.88,3.22,2.48,1.73,7.16,3.98,4.48,5.75,3.57,2.93,3.01,2.73,3.67,4.51,3.91,4.72,,,
August,1.97,1.85,2.81,4.72,1.98,2.55,4.76,2.57,2.12,2.19,4.45,5.27,7.13,3.87,2.2,3.53,0,,,
September,1.43,5.12,0.64,5.89,6.74,3.73,3.47,4.4,1.61,4.42,2.03,5.8,4.05,6.27,5.96,8.73,6.24,,,
October,3.83,7.1,3.1,7.64,10.18,6.78,3.9,10.03,2.97,6.48,4.95,6.42,10.01,6.3,7.56,0.64,3.25,,,
November,7.56,5,2.8,1.78,5.44,5.12,0.85,9.85,9,7.43,4.76,0.47,2.86,8.76,0.6,7.34,8.35,,,
December,4.41,9.13,0.95,7.4,3.75,7.01,3.31,3.91,3.11,6.62,3.57,8.15,2.86,6.12,4.71,5.95,3.12,,,
Total,48.31,52.33,35.97,50.27,49.47,48.35,40.86,63.45,48.69,47.88,37.74,48.17,57.99,57.41,55.55,53.7,54.86,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5291/7,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,660090,,,,,,,,,,,,,,,,,,,
