GLENCROE (GUITHAS COTTAGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 26973 03827,Long,-4.790319,Lat,56.195518,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,3.8,16.88,9.56,19.95,12.6,17.84,5.89,8.1,18.4,18.95,7.07,3.94,1.45,,,15.66,7.48,14.8,11.89,,,
February,,,,,,,,,,3.83,0.67,9.44,0.09,8.65,2.47,14.31,4.57,9.67,10.21,17.36,4.9,10.32,,,5.64,16.41,8,0.72,,,
March,,,,,,,,,,2.35,6.2,1.91,5.25,5.92,5.89,4.59,6.3,3.25,14.42,5.95,9.41,4.03,,,2.61,10.08,6.04,5.56,,,
April,,,,,,,,,5.7,2.6,3.37,4.55,9.87,5.48,7.03,5.66,3.16,4.71,2.47,5.8,4.79,5.4,,,4.47,4.3,2.98,15.06,,,
May,,,,,,,,,1.68,9.8,4.6,8.99,4.19,3.84,6.77,1.25,3.24,4.79,6.79,2.58,2.63,4.55,,,8.83,7.12,0.97,,,,
June,,,,,,,,,7.4,6.66,4.71,8.81,3.87,4.56,2.65,8.44,3.3,6.9,13.56,6.34,2.58,2.54,,,8.44,8.21,6.11,,,,
July,,,,,,,,,9.3,8.18,5.14,8.09,9.28,7.28,4.81,4.43,9.54,9.48,8.11,11.01,5.04,5.67,,,4.49,7.92,7.32,,,,
August,,,,,,,,,8.75,10.61,10.39,3.62,6.39,8.95,9.31,6.66,5.43,5.66,5.95,3.98,7.92,10.35,,,7.17,3.67,7.47,,,,
September,,,,,,,,,8.05,4.95,6.98,3.31,8.83,1.4,13.99,15.02,6.67,9.44,10.4,5.52,7.56,4.49,,,8.54,12.46,15.43,,,,
October,,,,,,,,,14.14,12.43,16.57,10.39,13.5,6.29,16.3,20.25,14.46,3.36,20.48,6.14,12.84,11.41,,,8.48,11.37,0.93,,,,
November,,,,,,,,,16.43,16.36,12.37,14.9,11.02,5.38,3.35,9.94,6.83,1.99,20.23,19.37,12.01,8.22,,,13.92,1.35,10.64,,,,
December,,,,,,,,,11.98,23.91,10.77,11.84,18.28,3.05,14.35,7.8,15.52,4.94,11.41,7.15,13.72,9,,,12.24,11.19,10.96,,,,
Total,,,,,,,,,,105.48,98.65,95.41,110.52,73.4,104.76,104.24,87.12,82.59,142.98,98.27,87.34,77.43,,,100.49,101.56,91.65,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Ja-Mar Est Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Feb Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
