NEWPORT (HOSPITAL),,,,,,,,,,,,
Grid ref,ST299886,Long,-3.013315,Lat,51.591870,,,,,,,
Station no,4012,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.45,4.30,1.15,,,,,,,,,
February,4.71,0.61,1.81,,,,,,,,,
March,4.42,2.83,1.85,,,,,,,,,
April,3.91,3.10,4.56,,,,,,,,,
May,2.91,4.57,3.68,,,,,,,,,
June,1.03,2.04,2.51,,,,,,,,,
July,1.02,2.94,5.01,,,,,,,,,
August,5.86,6.15,5.53,,,,,,,,,
September,5.27,3.74,5.11,,,,,,,,,
October,1.52,5.61,3.53,,,,,,,,,
November,8.70,4.65,3.03,,,,,,,,,
December,4.61,3.22,,,,,,,,,,
Total,49.41,43.76,,,,,,,,,,
Calc annual,49.41,43.76,37.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
