FERNILEE-WYTHEN,,,,,,,,,,,,,,,,,,,,
Grid ref,SK023776,Long,-1.9669538,Lat,53.295353,Elevation,1100,ft.,,,,,,,,,,,,
Station no,2643/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,5.65,4.19,2.64,3.92,3.73,4.94,4.91,5.25,6.46,,,,5.66,,,,,,,
February,5.28,0.31,4.83,0.35,5.6,3.21,7.45,2.09,2.85,,,,3.8,,,,,,,
March,1.88,3.19,3.24,3.96,1.61,2.56,3.82,1.65,2.75,2.7,4,2.85,1.4,,,,,,,
April,5.98,5.32,1.75,2.65,4.02,1.8,4.47,0.46,2.7,3.15,3.09,1.95,2.55,,,,,,,
May,3.11,5.21,2.16,2.97,0.67,0.42,2.68,4.78,1.5,1.4,2.6,4.7,3.45,,,,,,,
June,5.61,0.9,5.48,2.44,5.18,3.94,1.63,4.8,2.45,1.2,2.5,0.85,3.3,,,,,,,
July,5.73,4.51,3.58,3.36,1.65,6.5,4.19,5.29,7.2,4,3.45,4.05,,,,,,,,
August,6.33,2.26,1.43,3.66,1.87,2.51,3.78,2.29,2.25,2.2,5.15,3.75,4.4,,,,,,,
September,4.57,4.28,0.87,3.38,6.32,5.43,1.31,2.69,1.25,3.5,0.7,2.95,5.25,,,,,,,
October,2.05,8.18,5.18,6.24,8.1,5.77,2.66,6.11,3.3,4.2,,7,,,,,,,,
November,5.47,3.7,3.2,1.98,6.49,5.67,1.96,5.59,6.3,8.1,4.05,1.25,,,,,,,,
December,1.77,1.64,0.47,6.82,4.71,4.69,4.2,5.89,2.2,4.65,3.05,4.39,2.35,,,,,,,
Total,53.43,43.69,34.83,41.73,49.95,47.44,43.06,46.89,41.21,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near Lache Farm at the stated altitude.,,,,,,,,,,,,,,,,,,,,
"Relationships to church and station vary and are confusing, which may mean the gauge moved by up to 500m.",,,,,,,,,,,,,,,,,,,,
