BALCOMBE-GABLES (Balcombe Place),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ3239429067,Long,-0.112732,Lat,51.045707,Elevation,289,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.45,4.08,1.66,3.71,5.94,4.09,5.09,3.94,2.17,4.33,6.92,4.11,2.05,3.57,0.77,7.64,2.12,3.47,0.5,,,,,2.29,4.84,3.38,1.22,1.46,4.04,3.37,0.92,2.93,5.18,3.3,1.27,2.33,0.87,3.58,3.99,1.51,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,0.63,1.34,1.36,2.98,6.32,2.12,1.39,3.8,2.44,2.31,2.38,2.7,1.98,2.01,3.31,2.3,2.21,4.12,3.6,,,,,4.34,0.56,0.75,1.6,3.27,0.83,0.03,1.59,3.9,2.01,0.48,0.35,3.02,1.6,3.1,6.19,1.72,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,5.48,0.93,3.9,1.87,1.8,2.56,1.39,1.72,2.06,1.74,3.11,1.85,1,0.85,3.07,2.6,1.66,1.19,1.35,,,,,1.88,2.74,1.7,4.08,2.56,2.51,3.03,1.32,0.54,1.74,2.47,3.62,5.06,1.17,0.91,0.88,2.19,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.97,0.6,1.04,0.43,1.75,2.42,2.39,1.71,0.3,4.1,0.64,0.68,2.38,0.94,2.74,3.07,3.05,4.19,2.03,,,,,1.1,2.04,1.62,1.27,2.82,2.84,0.51,1.08,0.04,2.52,2.42,0.61,2.34,1.14,2.9,1.33,2.96,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,3.36,1.96,1.59,3.21,1.02,1.83,1.08,3.56,1.1,0.79,4.87,1.28,0.42,1.08,1.25,2.61,3.15,3.98,0.27,,,,,3.4,5.13,1.72,1.81,1.45,1.76,2.67,1.13,0.89,1.65,0.2,0.27,1.34,3.87,1.7,1.19,1.04,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.72,3.68,1.37,1.07,3.26,2.23,0.54,1.67,0.28,2.64,2.95,2.63,2.22,3.48,2.24,1.09,2.38,4.99,2.93,,,,,0.94,0.78,0.53,3.37,0.23,2.67,1.75,3.32,0.99,2.02,0.31,3.12,1.74,2.56,2.83,3.55,1.61,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.49,0.94,0.32,3.27,1.86,5.13,2.46,0.36,2.23,3.15,2.91,2.49,2.27,4.54,0.49,2.91,2.53,3.73,4.17,,,,,0.26,2.9,0.99,5.4,3.21,3.59,3.04,2.54,3.84,5.38,3.6,2.23,1.13,0.61,1.89,1.35,2.12,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,1.62,2.48,1.14,4.04,2.64,2.08,2.78,1.38,2.7,1.93,1.26,4.15,2.38,1.61,4.09,3.69,4.04,5.68,1.03,,,,,1.28,3.04,3.02,2.57,3.43,3.48,5.29,3.63,0.79,2.99,3.83,1.94,3.47,1.26,0.96,2.73,1.44,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.22,4.08,3.44,0.25,7.67,1.96,2.72,5.45,2.87,4.18,2.01,2.62,3.61,1.84,4.29,1.23,1.4,3.7,5.71,,,,,4.61,1.56,3.64,1.4,1.18,1.26,1.5,2.78,2.72,2.71,0.27,6.49,2.92,0.69,3.44,1.39,1.9,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,6.78,3.3,2.07,9.42,1.45,3.37,2.74,2.98,5.06,1.25,6.33,5.64,3.82,5.44,1.27,3.29,4.51,0.96,8.37,,,,,4.2,3.45,1.46,1.69,7.23,1.51,8.04,5.37,4.28,3.77,5.19,3.89,0.39,3.68,2.28,2.45,3.34,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
