"PORTON (C.D.E.E)",,,,,,,,,,,,
Grid ref,SU210366,Long,-1.701284,Lat,51.128298,,,,,,,
Station no,1514,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.07,2.54,0.86,1.79,2.94,4.67,1.98,3.35,4.83,4.08,,
February,6.32,0.43,1.31,2.70,1.50,0.15,3.57,2.53,0.19,2.85,,
March,4.17,3.43,0.37,2.54,1.22,1.16,1.83,1.60,3.82,1.96,,
April,2.72,1.89,2.83,0.20,0.58,1.65,0.37,0.80,2.73,1.26,,
May,3.04,4.86,1.93,2.26,3.93,0.35,1.79,2.40,0.91,1.33,,
June,0.82,1.41,1.73,3.35,2.89,1.61,1.67,3.08,0.74,2.84,,
July,1.06,0.42,3.25,2.57,1.12,2.25,3.69,1.95,1.20,4.00,,
August,4.30,4.88,1.64,3.57,0.32,4.54,3.53,3.23,1.47,3.73,,
September,3.30,2.75,2.62,2.22,1.53,3.60,2.54,4.01,0.09,4.88,,
October,0.95,4.63,3.42,2.45,3.03,1.81,2.38,3.24,2.98,8.76,,
November,8.96,3.30,2.21,6.51,2.76,0.65,2.19,2.65,3.69,4.27,,
December,3.06,2.66,0.75,3.02,3.88,4.57,2.71,3.49,7.64,3.64,,
Total,41.77,33.20,22.92,33.18,25.70,27.01,28.25,32.33,30.29,43.60,,
Calc annual,41.77,33.20,22.92,33.18,25.70,27.01,28.25,32.33,30.29,43.60,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
